species,j,k,eta,sigma_mu
d,6402.549316,0.046766,2.013338,0.004381
d,685.520569,0.289285,1.909932,0.001545
d,-3.060061,0.521968,2.742906,0.011640
d,5549.500000,0.052072,2.033782,0.004643
d,147.842834,0.342998,1.701338,0.000489
d,-8.894126,0.404064,2.800018,0.010934
d,153.792999,0.303927,1.482858,0.007181
d,-9.746931,0.549131,2.178780,0.008075
d,182.746170,0.422796,1.815929,0.001391
d,0.000440,0.893362,1.155000,0.006299
d,247.428146,0.367739,2.126903,0.002434
d,357.716125,0.342305,1.602626,0.002866
d,-7.529341,0.483104,2.053816,0.006321
d,-1.035602,0.723941,2.997315,0.001860
d,2723.167236,0.051557,1.994915,0.000351
d,21.775839,0.461402,2.016443,0.006532
d,60.369835,0.618616,1.894298,0.000407
d,-1.283771,0.593294,2.068958,0.005628
d,1.394026,0.493488,2.007985,0.009518
d,-2.399079,0.621779,2.427593,0.010900
d,2.166602,0.850580,2.617571,0.004667
d,31.996082,0.484495,1.688290,0.006869
d,2.836492,0.585417,1.081853,0.009664
d,102.902939,0.476309,1.645397,0.004715
d,80.432999,0.365751,2.018503,0.005979
d,-0.289335,0.726182,2.697449,0.002843
d,-3.123349,0.499697,2.434716,0.008751
d,0.351678,0.541032,2.238878,0.008363
d,6735.787598,0.044176,2.014004,0.003934
d,-2.792573,0.714730,3.704714,0.005668
d,3.486046,0.540636,0.960030,0.009234
d,-17.098560,0.499310,2.339995,0.008247
d,391.354645,0.303094,1.785344,0.002049
d,4.234051,0.634651,2.140902,0.008439
d,1147.794067,0.123065,1.829244,0.000476
d,9.615913,0.505384,1.938371,0.007485
d,-10.676455,0.154647,2.478521,0.007406
d,52.085381,0.521844,1.784574,0.005983
d,19.936943,0.447142,1.969700,0.007995
d,-0.289335,0.726182,2.697449,0.002843
d,67.504173,0.458839,1.628415,0.006612
d,118.263657,0.424838,1.959891,0.000959
d,-10.749277,0.388544,2.864375,0.010249
d,60.113903,0.502933,2.028194,0.003584
d,6.629570,0.637404,1.990085,0.007812
d,16.294598,0.519521,1.947564,0.005602
d,-10.718251,0.424365,2.365875,0.009756
d,5118.721680,0.050345,1.015414,0.006139
d,16.264088,0.475895,1.905578,0.007136
d,243.308502,0.420518,1.502917,0.000947
d,402.090515,0.385289,1.993180,0.000804
d,-6.295871,0.679066,2.605524,0.007211
d,-5.251725,0.513792,2.121725,0.009414
d,77.866486,0.500849,1.909912,0.004644
d,-0.725616,0.659355,3.748871,0.012041
d,10.341480,0.475455,1.904798,0.005853
