species,j,k,eta,sigma_mu
d,16.228643,0.495263,1.978934,0.005245
d,636.895691,0.322493,1.880969,0.000560
d,438.175323,0.382828,2.202097,0.000496
d,863.371643,0.245920,2.018777,0.001186
d,-3.362368,0.656142,2.586439,0.009219
d,3.855733,0.509984,1.925996,0.007729
d,-6.768849,0.432596,2.783960,0.012829
d,4.975339,0.595693,1.453607,0.008401
d,165.825958,0.512564,1.641884,0.000307
d,0.114278,0.581269,3.924467,0.010701
d,64.310638,0.418728,2.021928,0.004885
d,14.723252,0.515527,1.701265,0.007419
d,-7.092080,0.567667,1.950345,0.006260
d,-0.331502,1.336728,2.669565,0.001660
d,-9.295760,0.792390,3.101505,0.006950
d,13.639833,0.545327,1.788517,0.006498
d,150.359833,0.403060,1.883305,0.005212
d,-29.734837,0.467245,2.334585,0.007997
d,392.567749,0.321619,1.416268,0.005300
d,69.949799,0.607917,1.964917,0.000511
d,60.271271,0.512071,2.001125,0.003974
d,3907.802002,0.076582,1.996512,0.002029
d,144.742203,0.393440,1.744407,0.000392
d,3.144555,0.521067,2.040716,0.007872
d,1.468299,0.596088,1.587097,0.010336
d,69.265381,0.468920,1.864304,0.005531
d,14.938946,0.455872,2.007706,0.006971
d,227.558105,0.395387,2.008229,0.003731
d,381.411591,0.363175,1.875903,0.001165
d,-5.729841,0.451373,2.141163,0.009177
d,0.648205,0.613945,2.046543,0.007352
d,-6.993814,0.310374,2.591626,0.011195
d,3.981524,0.489422,2.037357,0.005418
d,8.568163,0.499004,1.697119,0.008287
d,2.555825,0.594662,1.805186,0.003371
d,1.130715,0.438489,1.878447,0.008470
d,3968.065918,0.041080,2.050053,0.005375
d,134.200180,0.363844,1.916344,0.006275
d,5090.352539,0.057998,2.033255,0.003747
d,2.245567,0.492215,1.629739,0.009079
d,128.762573,0.455532,1.699919,0.005081
d,9.920240,0.508635,1.848718,0.005253
d,-12.376489,0.521590,2.569037,0.008136
d,-15.601909,0.478105,2.167761,0.008147
d,294.445404,0.344146,1.802506,0.001604
d,-3.169442,0.435009,2.187162,0.012257
d,144.148575,0.378226,2.066712,0.004511
d,60.161579,0.412433,1.890244,0.006268
d,287.749298,0.358069,1.840235,0.005564
d,-0.645608,0.769919,3.370679,0.007341
d,31.338474,0.470509,1.798495,0.004779
d,232.432495,0.408562,1.682155,0.003875
d,101.473167,0.368493,1.777104,0.000675
d,-4.892987,0.454801,2.474584,0.008913
d,149.468918,0.353689,2.090024,0.002670
d,-1.281590,0.966606,1.641726,0.006129
d,89.069023,0.492591,1.997669,0.002060
d,1.893595,0.594387,1.063732,0.005889
d,-2.822092,0.592960,2.155165,0.009168
d,-6.352870,0.538513,3.181864,0.006591
d,9.161779,0.474686,1.973276,0.007865
d,1971.060425,0.162045,1.690059,0.000302
d,45.035076,0.465707,1.528049,0.006412
d,16.327629,0.502631,1.730203,0.006737
d,333.251831,0.395864,1.938495,0.000655
d,-5.058243,0.557392,2.969810,0.005414
d,145.153961,0.452839,1.727556,0.004117
d,753.596924,0.270517,1.823318,0.001260
d,14.616356,0.525993,1.984696,0.006559
d,35.673317,0.305709,2.119201,0.001916
d,1.866898,0.765293,1.738212,0.004244
d,8.213629,0.331653,2.016363,0.006593
d,232.340576,0.311821,1.841464,0.005682
d,-5.114107,0.564281,2.048453,0.008652
d,1.312146,0.568091,1.812756,0.010298
d,0.917079,0.585594,1.863952,0.008951
d,-2.955442,0.408122,2.415269,0.010376
d,-6.288257,0.505740,2.340148,0.009193
d,73.766106,0.438683,1.978757,0.006141
d,-0.095564,0.497051,2.160803,0.005453
d,917.925049,0.245928,1.877146,0.000646
d,24.383701,0.444381,2.067953,0.006452
d,-2.076425,0.582402,2.519433,0.008803
d,6.877186,0.534067,1.963673,0.008610
d,15.924716,0.506605,1.736570,0.007999
d,28.293663,0.507277,1.917498,0.006531
d,-2.336911,0.569108,1.979145,0.007283
d,1.134497,0.827902,1.061690,0.009025
d,14.057014,0.512358,1.767109,0.005787
d,8.246947,0.647754,1.556192,0.009129
d,28.826843,0.523685,1.952361,0.006274
d,6.219686,0.498193,1.886897,0.007726
d,16.264088,0.475895,1.905578,0.007136
d,14.684667,0.491641,1.996300,0.007252
d,549.243530,0.317670,2.325457,0.000532
d,-6.411756,0.502707,2.123748,0.010555
d,-8.715565,0.465596,2.229195,0.007505
d,185.825104,0.440915,1.745110,0.002265
d,-0.231182,0.455403,2.235619,0.006106
d,19509.232422,0.017508,2.020824,0.000505
d,-3.832733,0.478439,2.268119,0.009333
d,3.882940,0.235162,1.720214,0.008986
d,-7.754205,0.519467,1.978974,0.008335
d,297.686005,0.320420,1.469253,0.006991
d,-2.806535,0.424334,3.707453,0.016417
d,-0.997051,0.547168,2.131901,0.007438
d,11.960278,0.513175,1.940446,0.007648
d,210.145432,0.401067,1.884677,0.003245
d,412.989929,0.347488,1.841465,0.001029
d,122.777344,0.436163,1.799090,0.004386
d,130.076691,0.449688,1.747839,0.003536
d,287.196533,0.333830,1.451359,0.002505
d,10.438130,0.431088,1.835925,0.009127
d,5.723742,0.484354,2.015960,0.008208
d,0.163787,0.747781,1.579072,0.006733
d,42.615490,0.477888,1.886725,0.005942
d,417.613678,0.309004,1.716240,0.001951
d,-0.823072,0.565047,2.132299,0.008882
d,-22.053211,0.475118,2.084971,0.006464
d,0.727232,0.275651,1.646968,0.015896
d,-15.426598,0.519789,2.352379,0.007795
d,-21.369772,0.506785,2.455703,0.008277
d,-2.073199,0.803040,1.061008,0.005572
d,46.913956,0.457893,1.810185,0.006002
d,82.143242,0.349565,2.129997,0.002497
d,58.074024,0.509366,2.032946,0.005805
d,71.907074,0.483142,1.952333,0.004964
d,108.098038,0.541708,1.951816,0.003357
d,259.727417,0.357412,2.013661,0.001697
d,177.985779,0.448832,1.573496,0.002670
d,157.103226,0.431668,1.848293,0.003744
d,797.712830,0.203323,2.006581,0.006896
d,-16.157816,0.462259,2.254575,0.009767
d,2322.444336,0.146680,1.854852,0.000717
d,87.701866,0.398224,1.702535,0.000451
d,-4.567682,0.507061,2.025411,0.006579
d,12.723380,0.575427,1.903032,0.007537
d,70.317795,0.384335,2.143137,0.006507
d,161.060745,0.421181,1.902556,0.002933
d,64.508553,0.474263,2.040590,0.006794
d,41.646923,0.461497,1.972665,0.005686
d,2735.325439,0.076836,2.057951,0.005839
d,2.701923,0.727029,1.846656,0.008021
d,-0.466414,0.870204,2.808506,0.004191
d,-1.951817,1.003649,4.453681,0.001942
d,2.514073,0.472282,2.027215,0.009124
d,4.590518,0.583174,2.088787,0.006755
d,4.782334,0.543820,1.795533,0.010766
d,2598.104492,0.063417,2.078025,0.000380
d,45.660522,0.571621,2.000637,0.001592
d,690.922058,0.315118,1.954937,0.000542
d,-16.009159,0.447729,2.162700,0.008302
d,-0.901726,0.889489,2.656080,0.006323
d,-6.691397,0.512006,1.862796,0.006544
d,142.669830,0.345071,1.910680,0.002378
d,6.961387,0.581986,1.966430,0.008257
d,-0.467892,0.772551,2.759197,0.004625
d,2.982740,0.419998,2.085795,0.008471
d,293.661682,0.389837,1.878056,0.001594
d,2.371495,0.862975,1.600439,0.004971
d,-7.375630,0.538847,2.355411,0.009217
d,1535.786011,0.184899,1.934468,0.000861
d,274.635010,0.253507,1.824571,0.002755
d,62.542507,0.422838,1.906449,0.005768
d,10.834454,0.485205,1.952589,0.005834
d,-4.605931,0.657455,1.854060,0.009122
d,7.497169,0.347699,1.666521,0.008958
d,209.218307,0.395484,1.736973,0.001770
d,2212.910400,0.112968,1.944973,0.000376
d,26.096693,0.516586,1.817001,0.006291
d,43.653526,0.451854,2.039669,0.005906
d,411.913513,0.258921,1.756962,0.001596
d,-17.173409,0.511211,2.795553,0.007067
d,329.366455,0.485334,1.797852,0.000376
d,-2.227784,0.624995,4.194181,0.007040
d,74.037148,0.440728,1.819926,0.006551
d,6.731039,0.447198,1.992528,0.009974
d,-2.894091,0.547734,2.373459,0.006978
d,10.449458,0.492197,1.987689,0.009100
d,812.794250,0.310567,2.008129,0.000568
d,22.326487,0.496693,2.101041,0.004626
d,-3.135756,0.598437,3.457706,0.011616
d,109.369118,0.492861,2.046910,0.004220
d,14.357570,0.410005,1.735038,0.009555
d,20.734306,0.287631,1.682366,0.006308
d,589.760254,0.305561,1.873336,0.001239
d,-2.632382,0.749088,3.247147,0.004678
d,-5.512449,0.513527,2.432482,0.009235
d,1798.472168,0.152266,1.687349,0.000290
d,94.895454,0.353972,2.123564,0.001367
d,2.845777,0.331361,2.067529,0.011202
d,572.388489,0.311830,1.818314,0.001794
d,1.311625,0.430427,1.658596,0.011351
d,41.048794,0.530719,1.817054,0.001799
d,62.687908,0.468834,1.974171,0.003470
d,15.004744,0.514122,2.088598,0.007813
d,12.863957,0.620972,1.833149,0.007547
d,0.591442,0.550630,1.821806,0.009459
d,119.980370,0.354137,1.804754,0.000494
d,-0.099752,1.111390,1.758962,0.005138
d,108.465660,0.513388,1.817101,0.002295
d,44.310120,0.503915,1.974332,0.006351
d,118.874352,0.440373,1.821707,0.004535
d,5.798956,0.567070,1.770437,0.008621
d,1317.442139,0.167878,2.012607,0.005526
d,-1.147949,0.978867,2.542779,0.007174
d,6.330164,0.465720,1.905407,0.008431
d,-3.855133,0.639404,2.540163,0.006030
d,29.271534,0.563151,1.881229,0.007611
d,-0.196473,1.500525,2.506541,0.001251
d,28.874466,0.474563,2.016779,0.004850
d,-3.373619,0.517931,2.327090,0.009010
d,170.354889,0.354073,1.738406,0.006866
d,4.558346,0.503972,2.076547,0.008582
d,-18.717756,0.566717,2.279327,0.007784
d,195.550262,0.342271,1.954982,0.004195
d,-2.456532,0.497821,1.973718,0.007705
d,-23.232321,0.464657,2.210143,0.009023
d,1095.538574,0.201669,1.231559,0.000373
d,11.596085,0.501473,1.747477,0.006669
d,4.897134,0.533084,1.948683,0.007382
d,66.712700,0.468590,1.810133,0.006796
d,2.431286,0.520824,1.924280,0.008757
d,-0.483308,0.875992,3.234483,0.003125
d,-3.599508,0.462517,2.788283,0.011760
d,219.531860,0.324057,1.898749,0.002339
d,-4.991122,1.174687,3.352110,0.003762
d,-3.389939,0.439471,2.039079,0.008874
d,37.642597,0.567243,1.815066,0.001164
d,-17.148699,0.443175,2.263334,0.009351
d,4.332785,0.827815,1.565714,0.003850
d,146.407715,0.469981,2.085656,0.001440
d,13033.916016,0.024352,2.037531,0.003271
d,-14.283219,0.543630,2.166440,0.007850
d,-5.095902,0.488842,2.835113,0.010995
d,101.761658,0.430558,1.874097,0.006325
d,-1.735591,0.493958,2.055446,0.006001
d,1.389573,1.257432,1.721963,0.005663
d,87.882217,0.439820,1.918987,0.006848
d,-7.717223,0.451933,2.086102,0.006843
d,180.165848,0.419490,1.747122,0.002884
d,2.669777,0.557723,1.827043,0.009057
d,130.194412,0.435536,1.703554,0.005157
d,8.372641,0.527662,1.930572,0.006819
d,93.282455,0.483070,1.856212,0.004335
d,-8.577934,0.553907,2.268772,0.004654
d,-1.234679,0.536893,2.177397,0.007389
d,13.583482,0.620444,1.646202,0.000743
d,-2.425462,0.571339,3.947279,0.010486
d,73.766106,0.438683,1.978757,0.006141
d,69.920410,0.469495,1.882984,0.005589
d,-1.428915,0.592002,2.095901,0.007797
d,2023.985229,0.164682,1.830311,0.000304
d,-4.429311,0.561116,3.078582,0.008664
d,-17.838154,0.511572,2.000166,0.006908
d,-3.282563,0.821708,2.875527,0.010546
d,-0.592565,0.485276,1.796092,0.010913
d,41.539585,0.457948,1.776982,0.005625
d,87.334419,0.540650,1.872503,0.000502
d,5.082482,0.531724,2.029515,0.007674
d,-0.223259,0.515670,1.774902,0.007709
d,-0.038909,2.389892,1.956873,0.000934
d,-1.947394,0.312219,3.530617,0.019244
d,23.385277,0.414163,1.781954,0.007819
d,-7.301733,0.460163,2.187445,0.004307
d,406.369995,0.286969,1.661686,0.002364
d,-12.052077,0.593674,2.470733,0.007560
d,-2.582222,0.733630,2.833998,0.009644
d,25.866430,0.525729,1.849763,0.007598
d,271.368835,0.354909,1.928867,0.000484
d,1.739716,0.569811,1.908275,0.005554
d,-1.080645,0.628820,1.693283,0.010680
d,16.308243,0.437770,1.741413,0.008298
d,64.416512,0.479811,1.880573,0.005960
d,165.371704,0.249394,1.759882,0.004902
d,403.431091,0.388839,1.997764,0.000758
d,-1.747816,0.634925,2.183148,0.005533
d,3.943888,0.509742,1.891881,0.008175
d,24.930119,0.396944,1.599464,0.008228
d,70.847519,0.536591,1.934746,0.000886
d,-1.016497,1.199364,1.413809,0.006063
d,190.863037,0.365618,2.010208,0.001091
d,5.702510,0.475577,1.652994,0.007576
d,4.578369,0.397859,1.821836,0.010286
d,316.503540,0.336127,1.950065,0.000800
d,1446.339233,0.016065,2.152731,0.000471
d,-0.320770,0.615101,2.092929,0.010732
d,-2.175514,0.519239,1.846206,0.012421
d,-1.988557,0.060762,2.176414,0.008721
d,255.457535,0.368592,1.930014,0.001700
d,5.346492,0.590539,1.464124,0.005787
d,-0.600089,0.512534,2.222054,0.000300
d,-8.321443,0.481544,2.088294,0.006866
d,15.232040,0.505821,1.819587,0.007631
d,7.362875,0.505472,1.361796,0.012211
d,-2.875268,0.340323,1.989787,0.005840
d,19.006973,0.527803,1.834919,0.005984
d,37.355568,0.470016,1.621656,0.007796
d,2.425069,0.499252,2.107677,0.008420
d,15.149130,0.478573,1.740323,0.009094
d,4.538610,0.480020,1.759197,0.010846
d,-1.552549,0.379562,2.148474,0.010135
d,140.204514,0.433036,1.654293,0.004500
d,-3.293509,0.515284,2.264720,0.006491
d,-6.331136,0.412245,2.243640,0.011843
d,-0.418568,0.483515,2.481885,0.003311
d,-2.637635,0.501539,2.514281,0.007220
d,13.126907,0.406484,1.607370,0.008907
d,-4.033892,0.435542,2.509996,0.004281
d,8.515067,0.480770,1.739246,0.008683
d,10.415842,0.458856,1.834736,0.006700
d,14.086879,0.491353,1.812687,0.006805
d,1958.500610,0.103341,1.968384,0.006115
d,-10.756096,0.534286,2.146124,0.007132
d,-10.259556,0.535214,2.174236,0.006995
d,319.904449,0.367539,1.820305,0.002910
d,84.411354,0.648071,1.881625,0.000397
d,-3.043649,0.490583,2.215326,0.005117
d,136.462036,0.390524,1.839187,0.007018
d,378.344543,0.331543,1.862523,0.003584
d,165.748138,0.436409,1.958444,0.002317
d,8.869316,0.578135,1.170614,0.008520
d,3.493315,0.560979,1.795626,0.009021
d,62.949100,0.531476,1.809913,0.004021
d,63.345490,0.490395,1.972907,0.002605
d,13.279303,0.457633,1.555087,0.008528
d,70.609230,0.457581,1.980821,0.006232
d,215.190414,0.389773,2.025269,0.001385
d,0.568052,0.978399,0.819326,0.005613
d,-16.825886,0.574790,2.113750,0.008590
d,71.024681,0.444219,1.904378,0.005356
d,24.310009,0.445906,1.880038,0.007227
d,-8.002793,0.509010,1.851417,0.007739
d,-0.883269,2.242089,4.495658,0.000299
d,712.035950,0.290436,1.981430,0.000749
d,10.916065,0.556849,1.740063,0.009427
d,9.429099,0.605827,1.859824,0.009221
d,8.519865,0.473526,2.098304,0.006307
d,-24.404964,0.495652,1.955824,0.007246
d,-5.760490,0.477581,2.371002,0.011337
d,12.385480,0.463251,1.824636,0.009606
d,48.820644,0.494920,1.851191,0.006452
d,-0.340949,0.846457,1.644679,0.004827
d,8.002077,0.597337,1.964468,0.005349
d,297.717316,0.383128,2.098988,0.001914
d,8.599900,0.434510,2.008544,0.007993
d,3.147248,0.568686,2.041692,0.006881
d,5.974197,0.487703,1.848790,0.007708
d,21.817465,0.504431,1.094399,0.009325
d,6.114238,0.720273,1.753013,0.008103
d,32.210335,0.428264,2.031963,0.006547
d,-0.091168,0.500685,1.701210,0.010064
d,5689.349609,0.049157,2.021313,0.005865
d,213.623093,0.373063,1.712180,0.004533
d,374.356995,0.366872,1.769486,0.002022
d,42.602943,0.416979,1.924355,0.004803
d,-0.483946,0.517233,4.474771,0.003219
d,153.931915,0.451984,1.847148,0.001176
d,102.376831,0.433214,1.846941,0.005355
d,20.713680,0.448668,1.988662,0.007381
d,71.843170,0.495868,1.793986,0.005256
d,-3.917554,0.311399,3.871829,0.002854
d,353.218536,0.341918,1.787532,0.001961
d,-0.615578,0.533053,2.937045,0.006837
d,-2.939976,0.612382,4.447745,0.003757
d,-5.701843,0.612540,2.954272,0.006712
d,381.973328,0.334888,1.757996,0.003793
d,95.337570,0.473564,1.688904,0.002518
d,28978.976562,0.008991,2.072124,0.000376
d,19.991682,0.388223,1.618067,0.009276
d,48.099079,0.461426,1.854372,0.006054
d,83.953018,0.472948,1.909827,0.004940
d,634.424866,0.291535,1.809353,0.002239
d,5.025750,0.534872,1.976878,0.008401
d,106.848030,0.582018,1.525311,0.000366
d,-2.780685,0.570502,2.515888,0.008338
d,6.517891,0.715604,0.939768,0.006179
d,44.583672,0.422413,1.832893,0.007673
d,-12.510200,0.485795,2.041187,0.007137
d,-6.120187,0.613162,3.259683,0.003410
d,102.970337,0.504620,2.016526,0.001625
d,-8.109909,0.407493,2.209635,0.008689
d,0.263452,0.546158,2.050102,0.006872
d,292.593781,0.340597,1.810933,0.003323
d,-2.054697,0.459292,2.013888,0.006458
d,-0.745780,0.498499,1.982743,0.007456
d,-0.312584,0.623669,2.082998,0.010539
d,-10.609580,0.732403,2.789159,0.008841
d,196.964035,0.443595,1.872711,0.001466
d,265.736145,0.394779,1.940725,0.001721
d,1.437968,0.623488,1.689538,0.012550
d,-3.653476,0.643308,2.005717,0.008031
d,186.087738,0.390211,1.758959,0.002229
d,95.417336,0.527201,1.844939,0.001258
d,2921.859375,0.117734,1.806078,0.000414
d,20.643673,0.425578,1.649062,0.000349
d,1.169697,0.571644,2.054736,0.006197
d,-2.106727,0.725236,2.793576,0.005512
d,-0.173913,0.491914,1.930958,0.006214
d,173.366577,0.402009,1.896872,0.002771
d,4.138858,0.604484,2.100543,0.000432
d,7.390058,0.616174,1.758705,0.007494
d,4.846796,0.544027,2.066431,0.007087
d,11.310257,0.337840,2.051628,0.007815
d,-5.430119,0.433344,2.835264,0.013882
d,18.497305,0.306736,1.494309,0.009032
d,15.918995,0.293594,2.077859,0.010992
d,33.970726,0.458864,1.996235,0.005327
d,309.320038,0.309740,1.530841,0.003435
d,-5.340610,0.540231,2.232815,0.011390
d,-1.261038,0.480308,2.162158,0.005689
d,-5.127749,0.489774,2.192348,0.007239
d,6.496853,0.537309,2.139520,0.008467
d,3.079865,0.536939,1.925681,0.006377
d,5.602664,0.437575,1.585776,0.007740
d,2468.638184,0.138474,1.764416,0.000386
d,-3.282563,0.821708,2.875527,0.010546
d,76.158432,0.462562,1.729869,0.004461
d,-3.300296,0.512084,1.910388,0.007378
d,139.214935,0.442000,1.783063,0.002896
d,493.341614,0.319644,1.772112,0.003617
d,4.535940,0.436867,1.527970,0.005262
d,4.995189,0.454932,1.867943,0.007532
d,90.031334,0.416801,1.845792,0.006278
d,-6.660763,0.608737,2.141635,0.008788
d,125.230469,0.309964,1.921433,0.002654
d,15130.416992,0.021518,1.872779,0.000681
d,-1.672743,0.479044,1.838605,0.011788
d,112.619087,0.240233,2.018043,0.000822
d,-0.509318,1.287551,2.898208,0.004729
d,-0.909116,0.761489,3.013010,0.004660
d,-13.967092,0.523753,2.213581,0.009358
d,-0.859626,1.495111,3.784088,0.000645
d,81.618179,0.417322,1.889308,0.005118
d,6.521230,0.513479,2.028172,0.005014
d,14.370694,0.465025,1.576960,0.008578
d,1.320021,0.534488,1.876233,0.011567
d,6.137425,0.576027,2.243925,0.007241
d,154.446518,0.449446,1.766973,0.003953
d,-8.266484,0.470744,2.289489,0.009423
d,10.309072,0.480342,2.087961,0.006387
d,257.103027,0.430969,1.671225,0.001393
d,12.440705,0.475403,1.883711,0.008445
d,13.970745,0.468931,1.927925,0.007960
d,-76.942558,0.230333,1.960334,0.001891
d,137.129242,0.465053,1.741071,0.005176
d,10.674290,0.534484,2.071131,0.005813
d,39.367439,0.528316,1.796163,0.007270
d,-2.588255,0.651309,4.399506,0.004177
d,338.996216,0.348546,1.730873,0.005000
d,12.490005,0.621127,1.923648,0.008506
d,3.762542,0.594263,1.775527,0.009017
d,-32.702103,0.506256,2.379014,0.008394
d,1.037183,0.480699,1.941550,0.008125
d,-4.463561,0.476455,1.733074,0.009844
d,-3.649458,0.523162,2.371934,0.008832
d,898.564636,0.261589,1.479101,0.000933
d,158.924713,0.433328,1.702872,0.004254
d,27219.447266,0.012311,2.013502,0.001445
d,2147.495605,0.073391,2.020031,0.006764
d,0.124285,0.680121,1.848765,0.009931
d,2.683060,0.757733,1.809814,0.004972
d,0.543184,1.271541,1.708110,0.006027
d,124.839775,0.418741,1.856087,0.003678
d,8.771331,0.126061,1.488257,0.013121
d,44.364826,0.489494,1.995208,0.007072
d,196.728439,0.398236,1.873538,0.003743
d,133.026688,0.389403,1.891716,0.003699
d,1.074085,0.581207,2.339462,0.009659
d,3.029077,0.542760,1.879847,0.009485
d,10750.460938,0.030816,1.974400,0.001108
d,60.337181,0.408643,1.863533,0.006304
d,-9.314878,0.493152,2.584884,0.008262
d,235.503006,0.418374,1.661607,0.001418
d,1.803826,0.444534,2.298515,0.010740
d,7.762827,0.444181,2.095751,0.008622
d,66.717880,0.470273,1.888614,0.004879
d,-7.724443,0.658237,2.554863,0.008550
d,6.438124,0.516687,1.866733,0.007571
d,74.774445,0.492329,1.784507,0.005553
d,38.942043,0.331971,2.158891,0.010859
d,15.837601,0.508771,1.864659,0.007718
d,27.935972,0.442997,2.004431,0.007210
d,-1.797290,0.511590,2.254643,0.009680
d,2.912712,0.221663,1.962563,0.009199
d,567.144287,0.298071,1.855498,0.001182
d,8.356353,0.538859,1.987517,0.007648
d,15.343391,0.460650,2.020568,0.007278
d,2.177907,0.445970,0.953669,0.009198
d,39.678257,0.479973,1.810967,0.005613
d,1123.216309,0.257368,1.940333,0.000403
d,130.194412,0.435536,1.703554,0.005157
d,34.457886,0.613740,2.073185,0.001332
d,-2.375926,0.513335,3.345701,0.004344
d,-0.991512,0.520449,2.244095,0.006766
d,5955.456055,0.041477,1.378080,0.005914
d,0.829771,0.746535,1.201997,0.011803
d,104.798492,0.354216,2.104564,0.006897
d,123.843079,0.378280,1.824140,0.007119
d,34.522404,0.482437,1.746068,0.007646
d,-7.312670,0.449145,2.632388,0.007316
d,-3.437124,0.563602,2.069826,0.007245
d,107.259995,0.449668,1.825905,0.004709
d,17.851618,0.468080,1.715233,0.008309
d,498.646210,0.061815,2.169954,0.001002
d,112.529648,0.495627,1.956804,0.003804
d,52.430340,0.499960,2.130609,0.004883
d,-1.237779,0.821126,2.665617,0.008463
d,212.069626,0.399150,1.908598,0.004630
d,-1.131104,1.020747,2.130733,0.005797
d,-22.231522,0.452250,2.502664,0.010953
d,458.907043,0.328061,2.107451,0.001656
d,-3.138760,0.624218,2.124431,0.006563
d,589.722351,0.430868,2.588953,0.000279
d,-0.294499,0.622272,1.420507,0.005499
d,29.049906,0.430786,1.935787,0.006877
d,-1.420231,1.198246,4.016263,0.002006
d,-2.723101,0.722194,2.326540,0.006362
d,0.860107,0.709429,1.678921,0.005591
d,1.480786,0.559384,1.507074,0.005393
d,-7.814910,0.304099,3.935077,0.014272
d,18.248480,0.511913,1.851703,0.006675
d,16.287836,0.526754,1.682204,0.006937
d,-1.418533,0.896006,2.575635,0.007927
d,-17.173054,0.456932,2.024582,0.007677
d,218.326843,0.357660,1.893123,0.003482
d,7.448273,0.523964,1.928217,0.005748
d,-12.533348,0.499934,2.074720,0.008710
d,87.666183,0.574448,1.872140,0.000737
d,1793.921387,0.168259,1.811440,0.000462
d,70.441940,0.648566,2.007063,0.000399
d,465.511078,0.299357,2.263151,0.000819
d,-2.801951,0.467123,2.299772,0.008861
d,244.116653,0.425017,1.825275,0.001367
d,3.445258,0.381908,2.023162,0.013193
d,-6.921208,0.592858,2.156770,0.005955
d,-2.555436,0.555512,2.769102,0.007735
d,7.369000,0.470707,1.687735,0.008404
d,29.042397,0.451691,1.950924,0.005794
d,108.172676,0.423983,1.939808,0.005252
d,13.163853,0.526208,1.933904,0.007142
d,-1.875232,0.651281,1.806425,0.005576
d,22112.552734,0.002960,2.016483,0.000337
d,702.287659,0.238774,1.700768,0.001052
d,-1.992558,0.741212,2.389569,0.007451
d,-6.818629,0.588454,1.909623,0.006260
d,91.375893,0.521651,1.750499,0.000740
d,63.736061,0.460520,1.772483,0.006258
d,54.263947,0.455373,1.848674,0.005934
d,111.345276,0.440059,1.881406,0.005437
d,-8.189123,0.384457,3.890252,0.011740
d,13.640484,0.425409,1.805363,0.008722
d,3.751745,0.479662,2.006560,0.007819
d,0.698001,0.415136,2.257715,0.011041
d,-7.271259,0.549383,1.949541,0.007600
d,177.218231,0.380259,1.977151,0.002419
d,7.348961,0.659197,1.559176,0.006074
d,24.190807,0.464104,2.032316,0.007791
d,134.393707,0.462789,1.876224,0.002988
d,242.724533,0.402259,1.960476,0.004529
d,-4.052107,0.831575,3.165273,0.007331
d,33.443020,0.526303,1.918669,0.004999
d,5423.921387,0.065327,1.960147,0.000586
d,-3.949639,0.484809,2.429302,0.009361
d,87.653381,0.490073,2.000132,0.001176
d,61.254723,0.422524,2.000890,0.005934
d,-23.067389,0.460302,2.345495,0.009961
d,-5.504854,0.468510,2.024287,0.008897
