species,j,k,eta,sigma_mu
0.00000,8.14871,0.54253,1.30176,0.00846
0.00000,29.93347,0.71337,1.35209,0.00115
0.00000,15.08607,0.56506,1.73664,0.00299
0.00000,-5.86320,0.61004,2.29783,0.01017
0.00000,14.59463,0.45910,1.69602,0.00585
0.00000,-3.19089,0.71886,2.33361,0.00773
0.00000,32.38635,0.53836,2.25893,0.00051
0.00000,26.44203,0.46684,1.57134,0.00453
0.00000,-5.67926,0.72458,2.20600,0.00429
0.00000,2.52054,0.67448,2.26324,0.00838
0.00000,26.71556,0.56278,1.67550,0.00363
0.00000,1.23055,0.45948,1.78132,0.00820
0.00000,18.84470,0.50756,2.02585,0.00119
0.00000,-3.23484,0.53125,1.91625,0.01154
0.00000,13.40998,0.58108,1.92527,0.00358
0.00000,107.08851,0.40779,1.95047,0.00138
0.00000,3.26403,0.51225,1.40236,0.01140
0.00000,9.28811,0.44248,1.83999,0.00918
0.00000,12.91198,0.49318,1.32781,0.00462
0.00000,225.69362,0.08797,2.33290,0.00048
0.00000,19.03456,0.44898,1.90747,0.00508
0.00000,-2.61224,0.63301,1.95923,0.00623
0.00000,11.58356,0.53583,2.07636,0.00323
0.00000,24.66423,0.71599,1.90291,0.00044
0.00000,31.13637,0.52100,2.00699,0.00316
0.00000,0.86326,0.64611,2.12769,0.00600
0.00000,0.74489,0.93753,1.39810,0.00502
0.00000,44.17766,0.42714,1.50224,0.00225
0.00000,-0.36718,0.92143,4.49935,0.00024
0.00000,28.54759,0.59863,1.66003,0.00565
0.00000,21.57332,0.54899,2.08384,0.00173
0.00000,12.00257,0.57115,1.86034,0.00472
0.00000,22.29477,0.52284,1.62555,0.00279
0.00000,-0.86867,0.63928,2.35801,0.00818
0.00000,6.67347,0.51938,1.73987,0.00584
0.00000,34.22538,0.24499,1.90194,0.00877
0.00000,-0.87169,0.51229,2.06254,0.00655
0.00000,-5.45148,0.58061,1.92780,0.00843
0.00000,216.18709,0.35325,1.27990,0.00033
0.00000,52.64080,0.47782,1.93447,0.00176
0.00000,-4.88522,0.56066,2.92281,0.00448
0.00000,0.63663,0.70561,1.64732,0.00665
0.00000,-1.72704,0.50141,2.25544,0.00689
0.00000,11.46333,0.37452,2.16688,0.01021
0.00000,-0.67524,0.55326,3.25241,0.00450
0.00000,57.66962,0.46044,2.04144,0.00175
0.00000,-0.50977,0.54769,2.23636,0.00650
0.00000,-1.13904,0.59465,1.65439,0.00502
0.00000,1.93438,0.73515,2.68591,0.00328
0.00000,8.22669,0.57504,1.75284,0.00883
0.00000,38.12265,0.48020,1.59245,0.00239
0.00000,-11.51374,0.65760,2.87868,0.00614
0.00000,3.30918,0.53333,2.03984,0.00789
0.00000,50.55087,0.44362,1.72195,0.00162
0.00000,44.18124,0.47136,1.68538,0.00078
0.00000,49.31451,0.28682,2.33252,0.00104
0.00000,4.86866,0.49415,2.17506,0.00533
0.00000,23.76744,0.57338,1.64402,0.00439
0.00000,3.56410,0.46284,1.71874,0.00738
0.00000,-12.29124,0.19538,2.26139,0.01578
0.00000,-3.73676,0.17320,2.13353,0.00529
0.00000,0.25174,0.78389,1.38090,0.00415
0.00000,-3.14072,0.50438,2.05775,0.00550
0.00000,-6.70834,0.54554,1.67475,0.00809
0.00000,15.71666,0.53048,2.12903,0.00591
0.00000,82.53996,0.47958,1.50043,0.00127
0.00000,-6.07753,0.58108,2.04313,0.00407
0.00000,16.17196,0.46096,1.84386,0.00593
0.00000,2.65277,0.43814,2.03752,0.00485
0.00000,-8.78080,0.16363,1.86042,0.00383
0.00000,1.56484,0.52696,1.72630,0.00347
0.00000,23.51540,0.60041,1.43906,0.00057
0.00000,-5.19990,0.58108,1.98194,0.00538
0.00000,2.03175,0.38625,2.02166,0.01003
0.00000,20.96802,0.54051,1.81046,0.00280
0.00000,-1.31902,0.47097,2.87474,0.00687
0.00000,2.43925,0.50923,1.71400,0.00951
0.00000,21.19946,0.51136,2.00947,0.00280
0.00000,45.95316,0.48404,1.70906,0.00190
0.00000,27.81700,0.49111,1.79165,0.00181
0.00000,2.24022,0.49177,1.88718,0.00753
0.00000,-2.06131,0.33651,1.93914,0.01003
0.00000,4.46386,0.75285,1.68407,0.00436
0.00000,-8.00764,0.46338,2.13583,0.00824
0.00000,15.65091,0.53997,1.73033,0.00678
0.00000,26.03896,0.50757,1.77323,0.00414
0.00000,46.43078,0.39338,1.77506,0.00106
0.00000,310.30112,0.24217,1.90278,0.00039
0.00000,358.13995,0.13802,1.88556,0.00082
0.00000,27.65883,0.45700,1.66459,0.00173
0.00000,6.73644,0.51547,1.95591,0.00582
0.00000,13.92648,0.55126,1.68630,0.00306
0.00000,-10.02193,0.52582,2.44455,0.00816
0.00000,16.37632,0.50300,2.12422,0.00419
0.00000,8.56043,0.52856,1.94375,0.00661
0.00000,609.72937,0.16197,2.00252,0.00030
0.00000,9.23105,0.63696,1.99767,0.00341
0.00000,-0.36155,1.07209,2.16526,0.00808
0.00000,-0.38757,0.48052,2.30353,0.00068
0.00000,116.73438,0.36932,1.20530,0.00072
0.00000,20.44676,0.51298,1.80929,0.00198
0.00000,0.27646,0.51189,2.11711,0.00558
0.00000,18.93637,0.32181,1.23772,0.01055
0.00000,-1.66672,0.40580,3.98764,0.01230
0.00000,7.05321,0.50787,2.13568,0.00450
0.00000,-3.36148,0.60000,2.31708,0.00455
0.00000,17.33478,0.56065,1.55466,0.00483
0.00000,43.77551,0.40413,1.80065,0.00071
0.00000,94.04182,0.38014,1.13308,0.00201
0.00000,43.51997,0.47777,2.18402,0.00147
0.00000,20.53692,0.46587,1.93308,0.00443
0.00000,-3.53929,0.54616,1.98896,0.00727
0.00000,132.03185,0.34374,1.52304,0.00165
0.00000,24.15661,0.59491,1.92067,0.00298
0.00000,1.01558,0.56907,1.57537,0.00442
0.00000,4.24862,0.55870,1.91561,0.00613
0.00000,-3.10054,0.45554,2.07764,0.00506
0.00000,4.09853,0.53009,2.04995,0.00541
0.00000,20.82400,0.52307,1.42548,0.00483
0.00000,-2.72474,0.66319,1.99130,0.00900
0.00000,7.14736,0.08214,2.55698,0.00450
0.00000,-0.67050,0.28777,2.00868,0.00132
0.00000,7.12322,0.49760,2.20973,0.00632
0.00000,-0.68064,0.40266,2.28524,0.01132
0.00000,0.76739,0.50925,2.00434,0.00748
0.00000,39.30033,0.56048,1.68767,0.00276
0.00000,378.15018,0.12176,1.44745,0.00082
0.00000,2.75182,0.52970,1.92445,0.01131
0.00000,13.46322,0.49923,2.13473,0.00590
0.00000,23.28796,0.49800,1.57434,0.00199
0.00000,-2.66969,0.72574,1.93099,0.00629
0.00000,332.16135,0.17660,1.12931,0.00067
0.00000,50.31528,0.48076,2.27961,0.00228
0.00000,-10.30449,0.63596,2.41732,0.00656
0.00000,-0.46026,0.56239,2.05982,0.00443
0.00000,8.01133,0.49516,2.04492,0.00477
0.00000,1.82988,0.57600,1.89537,0.00796
0.00000,307.35440,0.26246,1.36784,0.00083
0.00000,-3.60650,0.54410,1.13429,0.00559
0.00000,-0.81324,0.67898,1.57892,0.00785
0.00000,-1.73497,0.76437,1.64003,0.00752
0.00000,0.10588,0.55668,2.64731,0.00861
0.00000,6.67659,0.52781,2.06124,0.00173
0.00000,-1.70674,0.46310,3.34877,0.00589
0.00000,85.72962,0.45080,2.03015,0.00075
0.00000,-3.67401,0.68523,1.81667,0.00579
0.00000,14.36012,0.53027,1.87455,0.00360
0.00000,43.99224,0.53347,1.61571,0.00261
0.00000,-8.54569,0.47986,2.39428,0.00689
0.00000,-0.70537,2.99594,3.25788,0.00248
0.00000,11.96115,0.57698,1.81368,0.00841
0.00000,13.73135,0.28937,1.97939,0.00932
0.00000,74.09508,0.31443,1.42778,0.00080
0.00000,46.98571,0.34106,1.67673,0.00182
0.00000,5.03409,0.57010,1.73854,0.00331
0.00000,-1.82470,0.57042,2.36329,0.00493
0.00000,8.05435,0.47193,1.72131,0.00684
0.00000,48.39845,0.55854,1.81851,0.00190
0.00000,0.23347,0.32883,1.30966,0.00153
0.00000,2.31359,0.54620,2.03682,0.00638
0.00000,1.37724,0.50517,2.07823,0.00633
0.00000,78.76937,0.43114,1.89463,0.00119
0.00000,16.76079,0.52091,1.10750,0.00587
0.00000,3.74630,0.28671,1.73486,0.01302
0.00000,0.89648,0.55255,2.18522,0.00695
0.00000,-7.56907,0.55717,2.17822,0.00485
0.00000,0.05401,0.64078,2.46326,0.00650
0.00000,-2.00021,0.51941,2.00387,0.00613
0.00000,-5.64609,0.56018,1.84473,0.00466
0.00000,0.74311,0.52810,2.13684,0.00836
0.00000,856.70056,0.11928,2.07301,0.00061
0.00000,24.78235,0.46935,1.93564,0.00339
0.00000,63.27801,0.45069,1.41184,0.00113
0.00000,17.54033,0.55525,1.88522,0.00369
0.00000,53.30039,0.55686,2.07766,0.00104
0.00000,2.74490,0.51495,1.59974,0.01017
0.00000,7.51315,0.49318,1.94334,0.00664
0.00000,-1.59113,0.46431,1.90635,0.00932
0.00000,-10.11612,0.76950,2.62148,0.00517
0.00000,18.06441,0.65384,1.85202,0.00594
0.00000,4.87483,0.28412,2.34120,0.00164
0.00000,60.32274,0.41784,1.87759,0.00301
0.00000,0.24291,0.58248,1.93113,0.00530
0.00000,1.75633,0.60733,2.29718,0.00648
0.00000,-4.75705,0.63876,2.01631,0.00444
0.00000,12.90496,0.58580,1.60331,0.00512
0.00000,4.40597,0.21864,1.92139,0.00019
0.00000,7.66069,0.60468,1.62150,0.00588
0.00000,3.45905,0.45872,1.97845,0.00506
0.00000,3.30628,0.68971,1.90637,0.00669
0.00000,17.13052,0.50019,1.50885,0.00600
0.00000,666.92487,0.10077,2.04617,0.00035
0.00000,137.18242,0.37990,1.84203,0.00054
0.00000,1.69768,0.50132,1.64692,0.01350
0.00000,23.58535,0.58848,1.67715,0.00067
0.00000,1.97820,0.60225,1.85991,0.01042
0.00000,69.74238,0.43384,1.49165,0.00136
0.00000,-0.57021,0.64341,2.51385,0.00629
0.00000,442.68591,0.21050,2.17479,0.00026
0.00000,8.46659,0.47584,0.99727,0.00931
0.00000,2.70524,0.52897,2.11598,0.00432
0.00000,18.87775,0.42225,1.69942,0.00804
0.00000,1347.13074,0.06808,1.99523,0.00046
0.00000,67.84315,0.38491,1.21813,0.00042
