species,j,k,eta,sigma_mu
d,2.995326,1.262257,1.851175,0.004350
d,67.510735,0.653464,1.393337,0.005464
d,22.605949,0.512323,1.738603,0.001430
d,28.888033,0.325531,1.250744,0.005292
d,6.544995,1.477030,1.552671,0.002596
d,31.532211,0.509106,1.400054,0.006406
d,403.643127,0.054941,2.117209,0.003760
d,108.424942,0.690719,1.941556,0.003309
d,504.177368,0.249439,1.477397,0.002346
d,108.036758,0.450016,0.306731,0.003445
d,1.078377,0.917459,1.966687,0.002205
d,-1.291897,0.161511,1.598517,0.002714
d,734.162354,0.170159,1.956190,0.005675
d,671.014099,0.138537,0.958996,0.004123
d,7.657670,1.101715,1.259023,0.002606
d,21.128738,1.051499,1.547598,0.002836
d,364.098969,0.292698,0.833427,0.007167
d,11.920137,1.361385,1.459291,0.002989
d,-5.651210,0.462061,3.402544,0.005395
d,92.152359,0.306755,1.807631,0.002785
d,29.602201,0.537555,1.662926,0.006534
d,59.688454,0.080352,2.603517,0.000712
d,8.073965,0.488026,2.146364,0.002716
d,0.504976,0.458721,3.238298,0.012104
d,2.197582,1.142257,1.877924,0.004323
d,-4.207902,0.450019,2.207107,0.005416
d,17.605240,0.314310,1.848678,0.001423
d,-0.262727,0.809927,2.937052,0.006420
d,1547.017944,0.093416,1.742930,0.001467
d,26.820850,0.919548,1.404138,0.003017
d,3.404329,0.800485,1.440444,0.003860
d,-1.679540,1.477610,2.404474,0.001710
d,2.648487,0.857298,1.539172,0.002465
d,395.447174,0.149190,1.587576,0.001352
d,153.764969,0.438923,1.304512,0.006310
d,1.996578,1.423917,2.273154,0.003031
d,3.092896,0.660990,0.982213,0.009605
d,370.659698,0.092074,1.623196,0.005342
d,26.378166,0.298897,1.630677,0.005959
d,2.882752,0.996879,1.760386,0.000736
d,-1.895778,0.842987,2.001488,0.003006
d,67.274971,0.050017,1.412792,0.005171
d,0.213050,1.022146,2.351437,0.001608
d,13.317534,1.191240,1.767990,0.001728
d,32.997509,1.291610,1.379439,0.003590
d,16.428438,1.205050,1.548601,0.003591
d,3.626668,0.902322,2.180590,0.003174
d,-0.526388,0.451255,1.948759,0.004815
