# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
Stock 19,00 04 41,+56 05 00,116.403,-6.195,,,,,B5,,4.0,,,,
NGC 6856,19 59 17,+56 07 48,89.683,13.527,,,,,,,2.0,,,,
King 6,03 28 06,+56 27 00,143.361,-0.076,871,11.25,0.50,8.34,B8,-1.2,10.0,+0.46,,,
IC 1590,00 52 48,+56 37 00,123.123,-6.243,2940,13.33,0.32,6.54,B0,-319.7,29.0,,,,
Berkeley 102,23 38 42,+56 38 00,113.013,-4.831,2600,14.20,0.69,8.78,,-219.0,5.0,,,,
NGC 7789,23 57 24,+56 42 30,115.532,-5.385,2337,12.52,0.217,9.235,B9,-219.3,25.0,-0.08,-64.00,,
Stock 4,01 52 58,+57 04 11,131.25,-4.81,1200,10.71,0.10,8.70,B5,-100.6,25.2,,,1.47,+01.18
Berkeley 57,22 55 08,+57 05 54,107.613,-2.273,4150,15.20,0.75,9.15,,-164.6,5.0,,,,
NGC 0869,02 19 00,+57 07 42,134.632,-3.741,2079,13.37,0.575,7.069,B0,-135.6,18.0,,-53.00,-0.92,-1.66
NGC 0884,02 22 18,+57 08 12,135.052,-3.582,2345,13.59,0.560,7.032,B0,-146.5,18.0,,-40.5,-1.61,+0.17
ASCC 120,22 30 36,+57 12 35,104.73,-0.60,2500,13.91,0.62,7.08,,-26.2,36.0,,-60.79,-2.99,-1.54
Alicate 1,03 59 12,+57 14 00,146.262,3.128,4000,16.08,0.67,6.48,,218.3,2.0,,,,
NGC 7235,22 12 25,+57 16 12,102.701,0.782,2823,15.15,0.934,7.072,B0,38.5,5.0,,-52.00,-4.03,-2.11
NGC 7352,22 39 43,+57 23 42,105.896,-1.054,,,,,,,5.0,,,,
Trumpler 37,21 39 06,+57 30 00,99.312,3.734,835,11.07,0.470,7.054,O6,54.4,89.0,,+22.3,-1.58,-1.70
Berkeley 92,21 24 47,+57 32 00,97.926,5.070,,,,,,,2.0,,,,
NGC 0957,02 33 21,+57 33 36,136.287,-2.645,1815,13.90,0.842,7.042,B1,-83.8,10.0,,-36.00,+1.11,+0.28
NGC 7055,21 19 30,+57 34 12,97.449,5.597,,,,,,,3.0,,,,
ASCC 6,01 47 13,+57 43 47,130.34,-4.34,1200,11.33,0.30,8.17,,-90.8,36.0,,-20.00,-1.02,-1.18
