# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-1221	BLG501.31	 57184	17:50:22.82	-29:24:20.7	2455809.636	2011-09-05.14	47.163	0.111	9.051
2011-BLG-1222	BLG505.03	 67064	17:58:26.57	-29:45:52.4	2455794.237	2011-08-20.74	0.301	0.881	1.442
2011-BLG-1223	BLG507.12	 96722	17:57:25.44	-31:50:34.0	2455795.104	2011-08-21.60	6.665	0.855	1.468
2011-BLG-1224	BLG507.20	 77132	17:58:21.73	-31:25:27.6	2455794.819	2011-08-21.32	9.170	0.568	1.968
2011-BLG-1225	BLG508.05	 133028	17:56:26.16	-33:20:32.5	2455806.606	2011-09-02.11	15.988	2.307	1.040
2011-BLG-1226	BLG511.18	 52585	18:05:13.00	-27:20:06.2	2455797.501	2011-08-24.00	13.228	0.368	2.854
2011-BLG-1227	BLG514.16	 100775	18:00:17.48	-31:13:40.0	2455788.353	2011-08-14.85	25.319	0.072	13.96
2011-BLG-1228	BLG519.31	 78120	18:07:16.24	-27:25:27.4	2455803.175	2011-08-29.68	21.330	0.670	1.733
2011-BLG-1229	BLG520.23	 49555	18:07:16.44	-29:11:51.2	2455795.683	2011-08-22.18	64.066	0.011	92.07
2011-BLG-1230	BLG604.03	 84888	17:46:17.53	-35:46:52.8	2455787.519	2011-08-14.02	36.233	0.038	26.28
2011-BLG-1231	BLG610.29	 76282	17:39:34.60	-35:32:19.8	2455790.096	2011-08-16.60	7.741	0.736	1.621
2011-BLG-1232	BLG626.06	 39034	17:39:00.72	-24:39:30.3	2455791.697	2011-08-18.20	13.731	0.123	8.205
2011-BLG-1233	BLG626.11	 42664	17:41:05.74	-24:18:23.0	2455784.794	2011-08-11.29	19.745	0.653	1.766
2011-BLG-1234	BLG632.20	 63488	17:46:20.42	-23:17:03.5	2455792.042	2011-08-18.54	10.370	0.868	1.455
2011-BLG-1235	BLG654.12	 47015	17:35:30.84	-30:01:49.8	2455797.159	2011-08-23.66	44.107	0.127	7.923
2011-BLG-1236	BLG675.01	 18661	17:43:08.93	-27:59:09.7	2455787.029	2011-08-13.53	28.327	0.007	142.5
2011-BLG-1237	BLG500.06	 46279	17:50:30.55	-29:10:13.8	2455798.414	2011-08-24.91	71.193	0.073	13.78
2011-BLG-1238	BLG506.29	 23256	17:57:42.48	-29:57:33.8	2455796.535	2011-08-23.04	3.138	0.758	1.587
2011-BLG-1239	BLG603.15	 57172	17:43:33.52	-34:18:27.7	2455797.860	2011-08-24.36	34.260	0.073	13.67
2011-BLG-1240	BLG501.31	 48938	17:50:27.94	-29:28:05.7	2455794.434	2011-08-20.93	3.107	0.787	1.549
2011-BLG-1241	BLG504.01	 126259	17:59:34.54	-28:26:30.1	2455799.714	2011-08-26.21	8.452	1.248	1.209
2011-BLG-1242	BLG504.16	 4852	17:55:04.33	-28:13:41.3	2455802.519	2011-08-29.02	11.055	1.469	1.141
2011-BLG-1243	BLG514.15	 127587	18:00:49.35	-31:16:23.7	2455796.571	2011-08-23.07	8.724	0.639	1.796
2011-BLG-1244	BLG525.14	 16013	18:13:03.73	-30:01:55.0	2455793.811	2011-08-20.31	24.237	0.618	1.842
2011-BLG-1245	BLG534.17	 130408	17:54:42.18	-30:51:39.4	2455793.691	2011-08-20.19	3.103	0.272	3.783
2011-BLG-1246	BLG615.23	 74480	17:22:53.97	-29:46:13.5	2455798.882	2011-08-25.38	10.516	0.461	2.340
2011-BLG-1247	BLG501.20	 59062	17:52:48.04	-29:47:56.2	2455802.049	2011-08-28.55	11.803	0.400	2.650
2011-BLG-1248	BLG502.31	 144168	17:49:52.38	-32:58:40.6	2455805.739	2011-09-01.24	9.105	1.718	1.093
2011-BLG-1249	BLG502.31	 144242	17:49:51.15	-32:58:42.4	2455807.949	2011-09-03.45	9.534	1.668	1.101
2011-BLG-1250	BLG505.08	 169268	18:00:13.11	-29:23:07.4	2455807.538	2011-09-03.04	6.781	1.700	1.096
2011-BLG-1251	BLG505.10	 11857	17:59:16.14	-29:26:36.8	2455808.266	2011-09-03.77	15.719	0.258	3.979
2011-BLG-1252	BLG505.17	 120064	18:00:18.70	-29:08:09.5	2455800.690	2011-08-27.19	1.981	1.792	1.083
2011-BLG-1253	BLG505.21	 86724	17:57:38.36	-29:02:32.0	2455802.166	2011-08-28.67	8.775	0.531	2.078
2011-BLG-1254	BLG505.30	 18472	17:57:04.55	-28:45:38.8	2455800.846	2011-08-27.35	0.840	0.251	4.072
2011-BLG-1255	BLG512.18	 209545	18:04:51.58	-28:20:34.4	2455815.305	2011-09-10.80	14.032	0.878	1.445
2011-BLG-1256	BLG512.25	 185285	18:00:03.42	-28:25:43.3	2455814.044	2011-09-09.54	14.574	0.362	2.893
2011-BLG-1257	BLG512.32	 164579	18:00:45.60	-28:09:02.5	2455803.264	2011-08-29.76	7.532	1.001	1.341
2011-BLG-1258	BLG521.03	 137793	18:09:12.91	-30:54:37.3	2455826.682	2011-09-22.18	56.068	0.469	2.305
2011-BLG-1259	BLG573.23	 3870	18:07:42.11	-31:39:14.8	2455804.716	2011-08-31.22	14.545	0.297	3.481
2011-BLG-1260	BLG603.11	 156773	17:46:16.11	-34:10:43.2	2455803.100	2011-08-29.60	23.505	0.180	5.632
2011-BLG-1261	BLG603.13	 147307	17:44:42.08	-34:16:02.0	2455853.398	2011-10-18.90	42.653	1.004	1.338
2011-BLG-1262	BLG604.27	 155856	17:46:53.67	-34:46:28.7	2455793.793	2011-08-20.29	54.007	0.096	10.46
2011-BLG-1263	BLG507.16	 51760	17:54:40.69	-31:53:21.1	2455803.891	2011-08-30.39	7.693	0.219	4.645
2011-BLG-1264	BLG512.32	 164175	18:00:45.64	-28:09:02.4	2455803.047	2011-08-29.55	5.865	1.506	1.132
2011-BLG-1265	BLG519.07	 71502	18:06:25.76	-28:26:03.8	2455823.746	2011-09-19.25	50.208	0.084	11.94
2011-BLG-1266	BLG519.16	 19102	18:05:54.70	-28:10:49.2	2455811.078	2011-09-06.58	14.802	0.184	5.517
2011-BLG-1267	BLG501.03	 46609	17:52:41.92	-30:26:49.9	2455814.331	2011-09-09.83	13.266	0.274	3.756
2011-BLG-1268	BLG501.09	 140108	17:53:55.24	-29:59:38.3	2455811.840	2011-09-07.34	14.691	0.123	8.185
2011-BLG-1269	BLG501.19	 71642	17:53:30.14	-29:45:03.6	2455805.731	2011-09-01.23	2.765	0.189	5.358
2011-BLG-1270	BLG501.27	 144696	17:53:11.24	-29:18:56.3	2455835.865	2011-10-01.36	18.923	0.182	5.577
2011-BLG-1271	BLG502.31	 144246	17:49:51.26	-32:58:39.9	2455806.072	2011-09-01.57	7.646	1.716	1.093
2011-BLG-1272	BLG505.24	 12600	17:55:37.16	-29:08:01.4	2455811.542	2011-09-07.04	4.207	0.658	1.757
2011-BLG-1273	BLG506.01	 22380	17:59:53.53	-30:51:40.0	2455809.195	2011-09-04.70	14.743	0.392	2.698
2011-BLG-1274	BLG506.06	 123028	17:55:55.05	-30:56:08.6	2455810.426	2011-09-05.93	15.871	0.605	1.872
2011-BLG-1275	BLG506.25	 95174	17:54:34.44	-30:10:29.8	2455863.362	2011-10-28.86	39.937	1.406	1.157
2011-BLG-1276	BLG510.17	 37956	18:00:37.26	-35:16:01.8	2455799.894	2011-08-26.39	16.121	0.777	1.562
2011-BLG-1277	BLG511.19	 49714	18:04:35.67	-27:21:50.3	2455814.781	2011-09-10.28	12.991	0.050	20.07
2011-BLG-1278	BLG512.23	 159956	18:01:29.77	-28:22:30.3	2455804.348	2011-08-30.85	1.606	0.828	1.499
2011-BLG-1279	BLG519.12	 137482	18:08:23.35	-28:01:23.6	2455804.552	2011-08-31.05	14.896	0.398	2.659
2011-BLG-1280	BLG534.09	 76760	17:54:11.35	-31:08:29.6	2455808.138	2011-09-03.64	48.210	0.123	8.183
2011-BLG-1281	BLG611.14	 111958	17:33:55.10	-27:23:06.7	2455804.575	2011-08-31.07	5.376	0.229	4.461
2011-BLG-1282	BLG500.09	 78760	17:54:11.24	-28:45:53.0	2455818.345	2011-09-13.85	29.919	0.240	4.251
2011-BLG-1283	BLG501.14	 83021	17:50:29.31	-30:00:27.2	2455807.680	2011-09-03.18	7.138	0.644	1.784
2011-BLG-1284	BLG501.27	 35711	17:53:37.78	-29:17:15.7	2455813.403	2011-09-08.90	6.733	0.367	2.860
2011-BLG-1285	BLG501.27	 137920	17:53:13.40	-29:20:49.5	2455813.342	2011-09-08.84	8.514	0.877	1.446
2011-BLG-1286	BLG501.28	 125874	17:52:30.70	-29:15:45.5	2455806.728	2011-09-02.23	13.661	0.619	1.839
2011-BLG-1287	BLG504.24	 62695	17:55:37.92	-27:44:14.6	2455816.714	2011-09-12.21	17.644	1.407	1.157
2011-BLG-1288	BLG504.30	 69609	17:56:32.57	-27:33:09.6	2455825.983	2011-09-21.48	58.703	1.472	1.140
2011-BLG-1289	BLG505.07	 185297	17:55:12.95	-29:47:02.7	2455832.964	2011-09-28.46	53.847	0.235	4.335
2011-BLG-1290	BLG505.14	 49171	17:56:20.15	-29:14:50.1	2455796.212	2011-08-22.71	22.946	0.665	1.743
2011-BLG-1291	BLG505.15	 34557	17:55:40.77	-29:18:23.2	2455808.637	2011-09-04.14	10.046	1.265	1.203
2011-BLG-1292	BLG506.30	 80942	17:56:51.11	-29:55:24.6	2455814.088	2011-09-09.59	33.139	0.400	2.647
2011-BLG-1293	BLG511.04	 152238	18:02:47.19	-27:56:16.9	2455821.788	2011-09-17.29	74.899	0.167	6.053
2011-BLG-1294	BLG512.10	 28676	18:04:40.85	-28:44:35.9	2455813.359	2011-09-08.86	18.182	1.592	1.114
2011-BLG-1295	BLG512.14	 63666	18:01:49.72	-28:51:26.5	2455805.428	2011-08-31.93	1.520	0.284	3.623
2011-BLG-1296	BLG520.04	 73351	18:08:47.36	-29:37:59.9	2455810.352	2011-09-05.85	11.061	0.323	3.213
2011-BLG-1297	BLG534.26	 162039	17:53:48.07	-30:33:23.3	2455869.339	2011-11-03.84	78.626	0.350	2.988
2011-BLG-1298	BLG573.31	 103004	18:07:22.91	-31:09:01.5	2455802.477	2011-08-28.98	7.772	0.144	7.009
2011-BLG-1299	BLG611.31	 108819	17:34:07.69	-26:40:24.5	2455808.183	2011-09-03.68	86.667	0.229	4.454
2011-BLG-1300	BLG613.15	 75727	17:27:46.63	-29:27:22.4	2455800.157	2011-08-26.66	5.432	0.740	1.615
2011-BLG-1301	BLG613.16	 78534	17:26:59.98	-29:29:11.7	2455800.031	2011-08-26.53	32.353	0.000	26489
2011-BLG-1302	BLG617.29	 41603	17:16:01.07	-29:17:42.0	2455857.367	2011-10-22.87	34.505	0.510	2.146
2011-BLG-1303	BLG506.28	 90796	17:58:22.02	-29:55:49.8	2455808.628	2011-09-04.13	7.164	0.232	4.394
2011-BLG-1304	BLG501.01	 186264	17:53:45.13	-30:13:08.7	2455825.704	2011-09-21.20	24.226	0.255	4.023
2011-BLG-1305	BLG501.04	 165516	17:51:37.27	-30:21:44.0	2455812.495	2011-09-08.00	5.754	0.068	14.75
2011-BLG-1306	BLG505.25	 174162	17:54:30.20	-29:00:57.9	2455825.714	2011-09-21.21	20.286	0.502	2.176
2011-BLG-1307	BLG505.28	 153996	17:58:15.09	-28:41:17.8	2455820.024	2011-09-15.52	5.805	0.731	1.627
2011-BLG-1308	BLG507.03	 65522	17:58:23.16	-32:07:08.5	2455819.114	2011-09-14.61	18.548	0.848	1.476
2011-BLG-1309	BLG508.29	 24039	17:57:49.41	-32:22:49.7	2455826.562	2011-09-22.06	22.946	0.235	4.345
2011-BLG-1310	BLG512.28	 72383	18:03:51.96	-28:12:30.8	2455810.748	2011-09-06.25	12.911	0.000	19748
2011-BLG-1311	BLG519.26	 63776	18:10:36.80	-27:29:50.4	2455829.328	2011-09-24.83	14.474	0.456	2.362
2011-BLG-1312	BLG523.23	 138690	18:12:30.78	-27:09:44.9	2455819.513	2011-09-15.01	86.659	0.406	2.614
2011-BLG-1313	BLG604.13	 96067	17:44:50.73	-35:27:10.5	2455825.519	2011-09-21.02	54.267	0.017	59.64
2011-BLG-1314	BLG501.11	 51453	17:52:45.28	-30:07:51.4	2455834.787	2011-09-30.29	31.028	1.219	1.221
2011-BLG-1315	BLG501.12	 28188	17:52:10.59	-29:56:44.3	2455825.416	2011-09-20.92	10.565	1.286	1.195
