# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-1377	BLG507.27	 49931	17:59:09.56	-31:16:52.7	2455821.440	2011-09-16.94	2.968	0.648	1.776
2011-BLG-1378	BLG511.20	 75129	18:03:51.85	-27:11:40.1	2455824.231	2011-09-19.73	40.885	0.235	4.335
2011-BLG-1379	BLG519.09	 127624	18:10:36.28	-28:00:00.2	2455809.349	2011-09-04.85	103.238	0.141	7.160
2011-BLG-1380	BLG520.21	 29739	18:08:49.21	-29:00:42.1	2455863.047	2011-10-28.55	41.129	0.296	3.489
2011-BLG-1381	BLG521.03	 58024	18:09:34.45	-30:54:05.8	2455849.425	2011-10-14.93	40.767	1.275	1.199
2011-BLG-1382	BLG521.17	 50566	18:11:37.29	-30:19:35.6	2455834.949	2011-09-30.45	26.064	1.135	1.260
2011-BLG-1383	BLG603.22	 3830	17:45:21.38	-34:06:13.7	2455849.538	2011-10-15.04	32.636	1.805	1.081
2011-BLG-1384	BLG603.31	 94606	17:44:12.27	-33:36:18.9	2455842.013	2011-10-07.51	17.282	1.295	1.192
2011-BLG-1385	BLG609.18	 140815	17:41:48.79	-34:32:43.6	2455823.937	2011-09-19.44	11.364	0.653	1.765
2011-BLG-1386	BLG646.10	 5513	18:04:30.41	-26:24:38.8	2455821.760	2011-09-17.26	24.455	0.053	18.73
2011-BLG-1387	BLG522.15	 68165	18:11:49.43	-26:10:51.2	2455842.940	2011-10-08.44	18.583	0.505	2.163
2011-BLG-1388	BLG522.16	 51374	18:11:04.67	-26:20:28.2	2455820.688	2011-09-16.19	11.191	0.170	5.958
2011-BLG-1389	BLG525.17	 21295	18:17:15.83	-29:38:19.5	2455838.872	2011-10-04.37	15.200	0.218	4.672
2011-BLG-1390	BLG580.11	 44773	18:09:09.62	-25:46:37.0	2455822.164	2011-09-17.66	4.993	1.452	1.145
2011-BLG-1391	BLG613.25	 67146	17:27:07.21	-29:09:55.8	2455815.206	2011-09-10.71	38.020	0.126	7.973
2011-BLG-1392	BLG504.15	 156741	17:55:07.63	-28:02:12.7	2455823.743	2011-09-19.24	0.811	0.547	2.026
2011-BLG-1393	BLG505.09	 26920	18:00:01.69	-29:21:12.7	2455829.587	2011-09-25.09	22.365	0.053	19.02
2011-BLG-1394	BLG506.31	 106603	17:56:02.42	-30:01:25.0	2455831.879	2011-09-27.38	18.079	0.150	6.744
2011-BLG-1395	BLG521.16	 31659	18:06:10.38	-30:30:15.8	2455989.478	2012-03-02.98	103.937	0.000	5416.
2011-BLG-1396	BLG501.13	 22951	17:51:29.98	-29:58:21.2	2455836.051	2011-10-01.55	72.185	0.003	326.1
2011-BLG-1397	BLG505.30	 156039	17:56:50.13	-28:37:31.9	2455823.157	2011-09-18.66	9.207	0.246	4.151
2011-BLG-1398	BLG512.04	 162232	18:02:56.02	-28:56:37.3	2455836.800	2011-10-02.30	18.221	0.808	1.523
2011-BLG-1399	BLG514.31	 131751	18:01:31.89	-30:39:48.8	2455827.514	2011-09-23.01	5.682	0.471	2.297
2011-BLG-1400	BLG518.07	 44080	18:06:38.06	-27:05:44.2	2455855.907	2011-10-21.41	27.759	0.902	1.422
2011-BLG-1401	BLG611.13	 39301	17:35:05.55	-27:11:03.6	2455865.101	2011-10-30.60	27.723	0.477	2.273
2011-BLG-1402	BLG617.17	 48349	17:18:54.01	-29:33:28.5	2455844.336	2011-10-09.84	28.798	1.763	1.087
2011-BLG-1403	BLG624.11	 64463	17:40:54.73	-21:46:45.9	2455812.214	2011-09-07.71	138.492	0.438	2.444
2011-BLG-1404	BLG502.05	 77675	17:51:03.35	-33:56:34.8	2455827.356	2011-09-22.86	20.907	0.271	3.788
2011-BLG-1405	BLG506.23	 109455	17:55:59.62	-30:13:39.5	2455846.462	2011-10-11.96	11.113	0.514	2.132
2011-BLG-1406	BLG507.28	 54300	17:58:17.17	-31:13:55.8	2455892.626	2011-11-27.13	37.180	0.454	2.371
2011-BLG-1407	BLG512.14	 108492	18:01:49.92	-28:37:35.9	2455851.047	2011-10-16.55	13.675	0.883	1.440
2011-BLG-1408	BLG525.13	 132829	18:13:14.14	-29:54:55.6	2455826.923	2011-09-22.42	2.248	0.866	1.457
2011-BLG-1409	BLG535.06	 115243	17:50:00.54	-32:49:22.1	2455826.399	2011-09-21.90	7.271	0.342	3.053
2011-BLG-1410	BLG613.08	 68613	17:32:49.61	-29:23:10.6	2455835.239	2011-09-30.74	15.520	0.040	25.12
2011-BLG-1411	BLG615.26	 82310	17:26:26.72	-29:19:53.4	2455840.180	2011-10-05.68	52.651	0.133	7.588
2011-BLG-1412	BLG501.11	 19245	17:52:58.05	-30:00:02.3	2455825.717	2011-09-21.22	0.520	1.365	1.169
2011-BLG-1413	BLG501.20	 175562	17:52:27.21	-29:42:20.9	2455846.032	2011-10-11.53	20.289	0.401	2.643
2011-BLG-1414	BLG502.02	 20225	17:53:26.99	-33:59:39.8	2455833.479	2011-09-28.98	16.038	0.675	1.724
2011-BLG-1415	BLG507.31	 18147	17:56:23.22	-31:14:14.3	2455829.099	2011-09-24.60	22.147	0.290	3.559
2011-BLG-1416	BLG512.27	 175436	18:04:20.43	-27:59:36.0	2455827.048	2011-09-22.55	2.186	0.348	3.001
2011-BLG-1417	BLG518.13	 78395	18:07:51.11	-26:48:56.5	2455836.166	2011-10-01.67	13.360	0.436	2.455
2011-BLG-1418	BLG609.28	 43654	17:40:38.02	-34:22:03.1	2455833.281	2011-09-28.78	18.246	0.053	18.88
2011-BLG-1419	BLG645.02	 126880	17:58:37.82	-27:14:55.4	2455829.791	2011-09-25.29	16.437	0.720	1.645
2011-BLG-1420	BLG501.03	 138155	17:52:38.33	-30:12:16.9	2455827.520	2011-09-23.02	0.996	0.228	4.476
2011-BLG-1421	BLG502.13	 1682	17:51:10.55	-33:49:16.8	2455841.383	2011-10-06.88	43.279	0.262	3.915
2011-BLG-1422	BLG507.30	 85187	17:56:56.41	-31:06:01.3	2455829.436	2011-09-24.94	8.198	0.790	1.544
2011-BLG-1423	BLG534.19	 74662	17:53:18.42	-30:53:21.9	2455831.660	2011-09-27.16	9.741	0.088	11.44
2011-BLG-1424	BLG534.27	 180174	17:52:59.24	-30:26:56.0	2455828.549	2011-09-24.05	1.313	0.824	1.503
2011-BLG-1425	BLG580.15	 66153	18:06:25.60	-25:38:22.0	2455837.230	2011-10-02.73	34.309	0.137	7.352
2011-BLG-1426	BLG613.04	 122659	17:29:51.11	-29:33:23.3	2455844.079	2011-10-09.58	14.394	0.678	1.718
2011-BLG-1427	BLG638.26	 69324	17:52:38.60	-22:23:43.0	2455832.313	2011-09-27.81	22.675	0.154	6.570
2011-BLG-1428	BLG675.15	 132526	17:38:41.12	-27:25:51.0	2455826.482	2011-09-21.98	17.085	0.244	4.189
2011-BLG-1429	BLG500.01	 182761	17:53:50.36	-29:08:04.8	2455840.163	2011-10-05.66	20.589	0.846	1.478
2011-BLG-1430	BLG501.11	 35104	17:52:55.21	-29:55:40.2	2455829.543	2011-09-25.04	10.858	0.100	10.02
2011-BLG-1431	BLG501.13	 25455	17:51:28.05	-29:59:22.9	2455831.533	2011-09-27.03	16.454	0.080	12.54
2011-BLG-1432	BLG504.12	 44138	17:57:47.05	-28:03:16.0	2455830.937	2011-09-26.44	27.250	0.012	80.41
2011-BLG-1433	BLG508.18	 63564	17:59:46.26	-32:39:23.4	2455836.445	2011-10-01.94	17.923	0.099	10.15
2011-BLG-1434	BLG511.20	 946	18:04:01.30	-27:21:40.9	2455841.649	2011-10-07.15	90.231	0.117	8.599
2011-BLG-1435	BLG518.31	 72635	18:07:02.16	-26:21:21.6	2455835.283	2011-09-30.78	27.439	0.274	3.745
2011-BLG-1436	BLG603.19	 109546	17:47:13.79	-33:53:16.1	2455836.456	2011-10-01.96	11.987	0.095	10.59
2011-BLG-1437	BLG610.09	 935	17:42:06.59	-36:16:03.0	2455827.547	2011-09-23.05	14.824	0.541	2.046
2011-BLG-1438	BLG611.21	 61443	17:35:36.21	-27:04:49.3	2455835.178	2011-09-30.68	11.702	0.159	6.356
2011-BLG-1439	BLG648.32	 23946	17:44:33.16	-26:21:37.4	2455885.054	2011-11-19.55	57.892	0.000	4953.
2011-BLG-1440	BLG653.10	 2361	17:37:13.60	-28:52:43.3	2455849.203	2011-10-14.70	34.601	0.059	17.02
2011-BLG-1441	BLG654.11	 15550	17:36:29.05	-30:04:35.3	2455838.154	2011-10-03.65	29.145	1.265	1.203
2011-BLG-1442	BLG660.01	 138387	17:47:50.73	-33:24:43.2	2455826.715	2011-09-22.21	6.449	0.490	2.218
2011-BLG-1443	BLG500.17	 5007	17:55:04.39	-28:33:51.4	2455830.499	2011-09-26.00	3.522	0.129	7.808
2011-BLG-1444	BLG502.14	 59301	17:50:19.26	-33:39:07.2	2455860.367	2011-10-25.87	427.388	0.005	196.7
2011-BLG-1445	BLG502.18	 96723	17:53:47.28	-33:24:43.6	2455899.262	2011-12-03.76	38.428	0.698	1.682
2011-BLG-1446	BLG506.26	 106618	17:59:35.80	-30:03:13.2	2455835.512	2011-10-01.01	16.316	1.487	1.136
2011-BLG-1447	BLG507.24	 129215	17:55:11.79	-31:26:15.1	2455833.386	2011-09-28.89	14.233	0.079	12.72
2011-BLG-1448	BLG511.25	 109398	18:00:13.34	-27:10:52.7	2455830.075	2011-09-25.57	24.872	1.312	1.186
2011-BLG-1449	BLG512.13	 62980	18:02:32.74	-28:51:34.1	2455840.206	2011-10-05.71	21.520	0.984	1.354
2011-BLG-1450	BLG512.30	 49449	18:02:40.93	-28:01:18.9	2455868.947	2011-11-03.45	57.420	0.121	8.300
2011-BLG-1451	BLG512.30	 63802	18:02:30.01	-28:13:45.1	2455833.542	2011-09-29.04	11.475	1.118	1.269
2011-BLG-1452	BLG612.10	 58193	17:31:15.73	-28:13:42.9	2455835.578	2011-10-01.08	12.855	1.824	1.079
2011-BLG-1453	BLG501.31	 71243	17:50:18.56	-29:30:08.7	2455857.448	2011-10-22.95	59.825	0.183	5.534
2011-BLG-1454	BLG505.30	 75990	17:56:58.93	-28:43:26.1	2455842.845	2011-10-08.35	6.369	0.322	3.221
2011-BLG-1455	BLG507.16	 37352	17:54:53.83	-31:42:26.4	2455831.406	2011-09-26.91	4.074	0.700	1.679
2011-BLG-1456	BLG509.15	 66210	17:55:20.54	-34:13:51.8	2455854.743	2011-10-20.24	52.368	0.589	1.912
2011-BLG-1457	BLG512.09	 70352	18:05:19.85	-28:47:25.4	2455844.700	2011-10-10.20	11.040	0.805	1.525
2011-BLG-1458	BLG513.08	 87031	18:05:53.74	-29:52:34.9	2455856.621	2011-10-22.12	24.302	1.260	1.205
2011-BLG-1459	BLG535.04	 126541	17:51:28.83	-32:52:59.9	2455832.036	2011-09-27.54	22.141	0.638	1.797
2011-BLG-1460	BLG580.05	 65163	18:07:46.91	-26:02:00.5	2455833.694	2011-09-29.19	13.659	0.236	4.319
2011-BLG-1461	BLG580.30	 127720	18:07:23.59	-24:58:45.0	2455846.854	2011-10-12.35	25.429	0.137	7.363
2011-BLG-1462	BLG501.19	 23744	17:53:36.12	-29:41:46.4	2455837.351	2011-10-02.85	87.093	0.033	30.17
2011-BLG-1463	BLG511.13	 154600	18:02:05.51	-27:34:42.3	2455849.202	2011-10-14.70	38.215	0.126	7.987
2011-BLG-1464	BLG615.09	 2848	17:26:50.73	-30:06:40.6	2455831.318	2011-09-26.82	70.847	1.685	1.098
2011-BLG-1465	BLG645.08	 36904	18:00:23.61	-26:56:03.2	2455831.521	2011-09-27.02	75.743	0.029	34.89
2011-BLG-1466	BLG501.12	 51338	17:52:04.65	-30:06:30.8	2455836.534	2011-10-02.03	10.283	0.039	25.78
2011-BLG-1467	BLG505.09	 196467	17:59:30.73	-29:17:29.1	2455832.386	2011-09-27.89	3.782	0.762	1.583
2011-BLG-1468	BLG535.27	 13238	17:53:29.58	-31:54:31.2	2455832.576	2011-09-28.08	46.762	0.143	7.049
2011-BLG-1469	BLG653.26	 71396	17:37:24.60	-28:08:30.0	2455847.545	2011-10-13.04	43.239	0.765	1.578
2011-BLG-1470	BLG660.16	 38236	17:43:10.95	-32:57:45.5	2455847.288	2011-10-12.79	14.414	0.763	1.581
2011-BLG-1471	BLG501.08	 223167	17:54:27.99	-29:51:04.7	2455835.592	2011-10-01.09	5.375	0.305	3.393
2011-BLG-1472	BLG505.28	 105499	17:58:23.26	-28:38:40.8	2455834.208	2011-09-29.71	10.184	0.275	3.745
2011-BLG-1473	BLG512.12	 98136	18:03:11.72	-28:43:10.5	2455870.139	2011-11-04.64	63.829	0.394	2.686
2011-BLG-1474	BLG522.15	 74245	18:11:49.42	-26:10:43.3	2455832.926	2011-09-28.43	13.196	0.622	1.833
2011-BLG-1475	BLG525.05	 6086	18:13:48.43	-30:25:42.1	2455843.876	2011-10-09.38	102.095	0.070	14.29
2011-BLG-1476	BLG534.32	 12007	17:49:57.46	-30:37:34.6	2455835.471	2011-09-30.97	4.090	0.230	4.429
2011-BLG-1477	BLG613.07	 82046	17:27:49.18	-29:42:17.0	2455836.060	2011-10-01.56	15.221	0.353	2.962
2011-BLG-1478	BLG613.27	 78278	17:31:17.40	-28:47:54.6	2455830.852	2011-09-26.35	6.454	0.070	14.39
2011-BLG-1479	BLG615.10	 116182	17:25:30.33	-29:56:45.8	2455852.357	2011-10-17.86	102.490	0.055	18.17
2011-BLG-1480	BLG648.26	 15527	17:48:27.15	-26:20:12.7	2455830.184	2011-09-25.68	13.026	0.513	2.138
2011-BLG-1481	BLG501.14	 13274	17:50:44.57	-30:00:00.3	2455837.472	2011-10-02.97	5.356	1.071	1.295
2011-BLG-1482	BLG505.03	 217204	17:57:58.34	-29:37:53.9	2455851.956	2011-10-17.46	26.032	0.087	11.47
2011-BLG-1483	BLG518.23	 61193	18:07:12.82	-26:38:48.3	2455845.111	2011-10-10.61	34.697	0.278	3.700
2011-BLG-1484	BLG520.23	 124312	18:07:08.52	-29:00:18.7	2455837.944	2011-10-03.44	3.191	0.631	1.812
2011-BLG-1485	BLG520.32	 35595	18:06:45.75	-28:38:53.2	2455838.953	2011-10-04.45	2.838	0.292	3.536
2011-BLG-1486	BLG535.12	 114754	17:51:28.39	-32:34:51.8	2455843.773	2011-10-09.27	14.852	0.330	3.155
2011-BLG-1487	BLG603.20	 113606	17:46:23.96	-33:56:37.4	2455840.182	2011-10-05.68	8.944	0.569	1.964
2011-BLG-1488	BLG500.21	 49044	17:52:01.11	-28:26:59.9	2455840.806	2011-10-06.31	5.375	0.193	5.264
2011-BLG-1489	BLG501.25	 54035	17:48:51.68	-29:43:30.2	2455911.652	2011-12-16.15	40.189	0.000	22663
2011-BLG-1490	BLG511.03	 67502	18:03:49.77	-27:50:35.0	2455850.897	2011-10-16.40	8.061	0.202	5.029
2011-BLG-1491	BLG504.27	 173961	17:58:45.75	-27:36:18.7	2455840.942	2011-10-06.44	3.008	1.425	1.152
2011-BLG-1492	BLG535.21	 87195	17:51:37.42	-32:10:37.7	2455893.430	2011-11-27.93	104.638	0.901	1.422
2011-BLG-1493	BLG611.11	 113561	17:36:05.59	-27:21:53.9	2455841.436	2011-10-06.94	22.967	0.083	12.03
2011-BLG-1494	BLG675.16	 106426	17:37:55.64	-27:28:10.4	2455836.541	2011-10-02.04	19.792	0.972	1.363
2011-BLG-1495	BLG504.19	 38661	17:59:14.56	-27:44:18.6	2455843.893	2011-10-09.39	6.579	1.746	1.089
2011-BLG-1496	BLG505.12	 106839	17:57:40.86	-29:14:31.9	2455843.203	2011-10-08.70	18.399	0.009	115.9
2011-BLG-1497	BLG615.32	 18198	17:22:31.53	-29:18:02.2	2455843.688	2011-10-09.19	17.005	0.189	5.355
2011-BLG-1498	BLG626.31	 75836	17:38:50.64	-23:38:44.6	2455884.922	2011-11-19.42	64.854	0.000	2871.
2011-BLG-1499	BLG500.02	 165108	17:53:13.97	-29:13:01.2	2455843.942	2011-10-09.44	5.055	0.419	2.542
2011-BLG-1500	BLG513.17	 60654	18:06:07.12	-29:34:29.5	2455844.207	2011-10-09.71	8.265	0.291	3.543
2011-BLG-1501	BLG511.10	 110248	18:04:24.63	-27:35:17.2	2455859.345	2011-10-24.84	14.242	0.057	17.57
2011-BLG-1502	BLG512.20	 191888	18:03:31.42	-28:31:40.8	2455847.648	2011-10-13.15	22.903	0.267	3.851
2011-BLG-1503	BLG523.12	 30185	18:14:13.04	-27:28:44.5	2455841.737	2011-10-07.24	20.824	0.038	26.31
2011-BLG-1504	BLG500.01	 11239	17:54:18.14	-29:08:57.3	2455844.990	2011-10-10.49	15.668	0.361	2.906
2011-BLG-1505	BLG505.14	 110232	17:56:05.68	-29:30:26.3	2455843.968	2011-10-09.47	13.823	0.008	118.2
2011-BLG-1506	BLG660.14	 53746	17:44:39.58	-33:01:58.6	2455847.571	2011-10-13.07	10.219	1.159	1.248
2011-BLG-1507	BLG500.01	 123973	17:53:58.18	-29:09:04.8	2455845.430	2011-10-10.93	8.056	0.711	1.660
2011-BLG-1508	BLG522.04	 101099	18:13:39.74	-26:35:17.2	2455850.778	2011-10-16.28	18.898	0.488	2.229
2011-BLG-1509	BLG512.30	 6372	18:02:41.04	-28:13:14.5	2455850.100	2011-10-15.60	15.231	0.570	1.960
2011-BLG-1510	BLG603.12	 100408	17:45:44.18	-34:22:45.6	2455848.682	2011-10-14.18	14.151	0.000	16829
2011-BLG-1511	BLG508.12	 138807	17:57:12.69	-32:55:30.4	2455849.292	2011-10-14.79	0.999	0.000	50560
2011-BLG-1512	BLG516.28	 24904	18:04:25.77	-33:00:23.0	2455873.351	2011-11-07.85	49.955	0.168	6.025
2011-BLG-1513	BLG518.12	 158659	18:08:12.05	-26:48:03.0	2455853.599	2011-10-19.10	21.029	0.024	41.17
2011-BLG-1514	BLG522.25	 18591	18:11:15.36	-25:57:35.9	2455948.417	2012-01-21.92	113.973	0.000	5367.
2011-BLG-1515	BLG500.20	 9568	17:52:56.89	-28:31:00.6	2455868.171	2011-11-02.67	31.184	0.406	2.611
2011-BLG-1516	BLG501.30	 3345	17:51:24.23	-29:28:11.2	2455863.869	2011-10-29.37	35.636	0.256	4.009
2011-BLG-1517	BLG506.01	 7543	17:59:52.27	-30:59:54.6	2455912.581	2011-12-17.08	62.088	0.000	12649
2011-BLG-1518	BLG506.06	 189052	17:55:49.62	-30:52:16.1	2455851.898	2011-10-17.40	3.790	0.394	2.684
2011-BLG-1519	BLG508.03	 103439	17:58:00.54	-33:25:55.1	2455869.033	2011-11-03.53	11.394	0.752	1.597
2011-BLG-1520	BLG511.25	 67263	18:00:24.33	-27:10:09.2	2455875.647	2011-11-10.15	23.584	0.769	1.572
2011-BLG-1521	BLG512.10	 160508	18:04:21.71	-28:39:07.8	2455858.310	2011-10-23.81	21.946	0.228	4.471
2011-BLG-1522	BLG512.20	 29411	18:03:57.95	-28:26:06.8	2455861.371	2011-10-26.87	19.772	0.217	4.688
2011-BLG-1523	BLG505.10	 188205	17:58:43.21	-29:25:39.6	2455859.222	2011-10-24.72	45.202	0.075	13.32
2011-BLG-1524	BLG508.02	 109037	17:58:41.06	-33:20:47.6	2455870.515	2011-11-05.01	45.481	0.250	4.098
2011-BLG-1525	BLG513.25	 78975	18:00:07.81	-29:44:24.7	2455851.286	2011-10-16.79	3.796	0.230	4.429
2011-BLG-1526	BLG519.02	 31070	18:10:12.76	-28:22:10.7	2455853.964	2011-10-19.46	7.296	0.213	4.783
2011-BLG-1527	BLG653.17	 47525	17:38:23.65	-28:22:21.5	2455898.208	2011-12-02.71	34.184	0.002	456.8
2011-BLG-1528	BLG500.11	 151314	17:52:22.74	-28:46:12.9	2455959.780	2012-02-02.28	53.632	0.000	34618
2011-BLG-1529	BLG617.17	 29399	17:19:06.58	-29:26:11.5	2455855.218	2011-10-20.72	47.726	0.017	58.32
2011-BLG-1530	BLG501.14	 116848	17:50:10.41	-29:58:21.3	2455856.928	2011-10-22.43	2.909	0.717	1.651
2011-BLG-1531	BLG506.05	 11403	17:57:04.86	-31:00:34.1	2455856.840	2011-10-22.34	20.425	0.070	14.40
2011-BLG-1532	BLG603.04	 77321	17:45:51.26	-34:31:14.8	2455855.645	2011-10-21.14	15.098	0.010	102.5
2011-BLG-1533	BLG511.20	 52294	18:03:45.58	-27:19:33.1	2455885.098	2011-11-19.60	67.628	0.000	49578
2011-BLG-1534	BLG519.30	 84099	18:07:57.64	-27:25:29.9	2455858.656	2011-10-24.16	12.984	0.686	1.703
2011-BLG-1535	BLG512.19	 2519	18:04:45.64	-28:35:44.3	2455873.205	2011-11-07.71	123.909	0.028	35.93
2011-BLG-1536	BLG508.24	 58539	17:55:24.97	-32:42:44.3	2455878.811	2011-11-13.31	26.527	0.000	43432
2011-BLG-1537	BLG603.09	 92089	17:47:50.68	-34:18:07.8	2455915.587	2011-12-20.09	58.387	0.000	11500
2011-BLG-1538	BLG505.06	 69272	17:56:18.58	-29:45:20.9	2455861.275	2011-10-26.77	177.447	0.018	54.60
2011-BLG-1539	BLG512.13	 167640	18:02:13.03	-28:37:49.8	2455862.837	2011-10-28.34	9.361	0.542	2.043
2011-BLG-1540	BLG501.08	 92633	17:54:55.68	-29:53:54.1	2455861.563	2011-10-27.06	5.826	0.613	1.852
2011-BLG-1541	BLG501.27	 142509	17:53:16.30	-29:19:53.7	2455862.151	2011-10-27.65	60.969	0.013	74.14
2011-BLG-1542	BLG512.15	 143304	18:00:47.86	-28:43:55.5	2455868.822	2011-11-03.32	13.403	0.563	1.981
2011-BLG-1543	BLG632.24	 58274	17:43:46.89	-23:17:59.9	2455854.286	2011-10-19.79	16.255	0.647	1.779
2011-BLG-1544	BLG500.07	 125	17:50:05.27	-29:12:09.4	2455917.882	2011-12-22.38	37.482	1.283	1.196
2011-BLG-1545	BLG505.18	 198378	17:59:30.44	-29:04:35.6	2455863.917	2011-10-29.42	19.842	0.184	5.496
2011-BLG-1546	BLG511.27	 114465	18:04:21.57	-26:55:55.8	2455867.564	2011-11-02.06	3.498	1.372	1.167
2011-BLG-1547	BLG507.25	 14718	17:54:54.94	-31:33:07.9	2455885.749	2011-11-20.25	16.623	0.845	1.479
2011-BLG-1548	BLG512.29	 146209	18:02:58.13	-28:07:20.5	2455880.555	2011-11-15.05	10.340	0.536	2.062
2011-BLG-1549	BLG513.29	 69090	18:03:07.13	-29:17:05.3	2455866.464	2011-10-31.96	5.623	0.467	2.311
2011-BLG-1550	BLG500.01	 56974	17:54:07.67	-29:10:34.3	2455870.065	2011-11-04.56	21.752	0.037	27.38
2011-BLG-1551	BLG505.11	 156924	17:58:14.98	-29:17:54.6	2455917.242	2011-12-21.74	41.222	0.000	53603
2011-BLG-1552	BLG505.28	 216587	17:58:03.38	-28:41:06.6	2455868.563	2011-11-03.06	67.761	0.083	12.08
2011-BLG-1553	BLG506.32	 142308	17:55:03.07	-30:05:07.2	2455876.787	2011-11-11.29	11.747	1.365	1.169
2011-BLG-1554	BLG518.22	 88930	18:07:40.29	-26:44:11.4	2455869.325	2011-11-03.83	28.202	0.014	72.58
2011-BLG-1555	BLG519.30	 5715	18:08:01.95	-27:36:33.6	2455869.119	2011-11-03.62	14.157	0.873	1.450
2011-BLG-1556	BLG505.15	 146359	17:55:20.02	-29:19:36.6	2455902.756	2011-12-07.26	18.541	0.656	1.759
2011-BLG-1557	BLG505.16	 145435	17:54:40.91	-29:15:14.0	2455876.049	2011-11-10.55	12.273	1.375	1.166
2011-BLG-1558	BLG500.10	 78098	17:53:32.20	-28:43:49.5	2455873.494	2011-11-07.99	2.830	1.383	1.163
2011-BLG-1559	BLG504.17	 151396	18:00:20.97	-27:44:24.9	2455877.793	2011-11-12.29	40.021	0.000	27393
2011-BLG-1560	BLG506.24	 67735	17:55:26.77	-30:13:27.8	2455889.244	2011-11-23.74	22.883	1.471	1.140
2011-BLG-1561	BLG511.09	 126736	18:05:02.57	-27:28:20.4	2455898.012	2011-12-02.51	13.604	0.001	1269.
2011-BLG-1562	BLG504.24	 57980	17:55:30.80	-27:47:29.1	2455902.049	2011-12-06.55	38.595	0.000	9478.
