#  Name       RA      DEC       l       b     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
BLG578     18:29:24    -18:11:20      14:16:08     -3:30:22   2000.0    18.4900000   -18.1888889    14.2689309    -3.5062327   BLG 578
BLG579     18:29:26    -19:23:10      13:12:26     -4:03:51   2000.0    18.4905556   -19.3861111    13.2073195    -4.0641800   BLG 579
BLG581     18:34:17    -11:25:15      20:49:34     -1:26:08   2000.0    18.5713889   -11.4208333    20.8260040    -1.4356716   BLG 581
BLG582     18:34:18    -12:39:05      19:44:05     -2:00:19   2000.0    18.5716667   -12.6513889    19.7347688    -2.0053843   BLG 582
BLG583     18:34:21    -13:52:55      18:38:47     -2:34:53   2000.0    18.5725000   -13.8819444    18.6464733    -2.5815221   BLG 583
BLG584     18:34:25    -15:06:45      17:33:32     -3:09:37   2000.0    18.5736111   -15.1125000    17.5589774    -3.1601903   BLG 584
BLG585     18:34:25    -16:20:35      16:27:46     -3:43:24   2000.0    18.5736111   -16.3430556    16.4628571    -3.7233309   BLG 585
BLG586     18:34:29    -17:34:25      15:22:21     -4:17:57   2000.0    18.5747222   -17.5736111    15.3725992    -4.2992526   BLG 586
BLG587     18:34:33    -18:48:15      14:16:50     -4:52:24   2000.0    18.5758333   -18.8041667    14.2805948    -4.8734292   BLG 587
BLG589     18:39:18    -12:02:10      20:50:31     -2:48:33   2000.0    18.6550000   -12.0361111    20.8419757    -2.8090737   BLG 589
BLG590     18:39:20    -13:16:00      19:44:56     -3:22:38   2000.0    18.6555556   -13.2666667    19.7488365    -3.3772892   BLG 590
BLG591     18:39:25    -14:29:50      18:39:36     -3:57:18   2000.0    18.6569444   -14.4972222    18.6598911    -3.9549852   BLG 591
BLG592     18:39:31    -15:43:40      17:34:16     -4:32:05   2000.0    18.6586111   -15.7277778    17.5711471    -4.5346321   BLG 592
BLG593     18:39:31    -16:57:30      16:28:11     -5:05:28   2000.0    18.6586111   -16.9583333    16.4696857    -5.0910492   BLG 593
BLG594     18:39:37    -18:11:20      15:22:37     -5:40:00   2000.0    18.6602778   -18.1888889    15.3770547    -5.6668045   BLG 594
