wavelength flux
4294.35201902 5.38903e-15
4296.37472587 2.46773e-15
4298.39743273 1.09821e-15
4300.42013958 1.99949e-16
4302.44284644 -4.7928e-16
4304.46555329 -7.39049e-16
4306.48826015 -2.4787e-15
4308.510967 -5.58059e-15
4310.53367386 -5.01509e-15
4312.55638071 -2.46421e-16
4314.57908757 -1.69338e-15
4316.60179442 -2.11853e-15
4318.62450128 1.1658e-15
4320.64720813 2.55861e-15
4322.66991499 1.12039e-15
4324.69262184 7.12862e-16
4326.7153287 8.88735e-16
4328.73803555 -9.62404e-16
4330.76074241 -3.78775e-16
4332.78344926 2.74128e-15
4334.80615612 5.75123e-15
4336.82886297 4.96187e-15
4338.85156983 3.76175e-15
4340.87427668 2.89337e-15
4342.89698354 1.14201e-15
4344.91969039 8.7291e-18
4346.94239725 1.9076e-16
4348.9651041 1.42721e-15
4350.98781096 1.64934e-15
4353.01051781 -5.44361e-16
4355.03322467 -4.60107e-16
4357.05593152 -9.35137e-16
4359.07863838 -1.15595e-15
4361.10134523 -2.7495e-16
4363.12405209 1.0105e-15
4365.14675894 2.79587e-15
4367.1694658 2.18172e-15
4369.19217265 5.55926e-16
4371.21487951 1.20779e-15
4373.23758636 9.40239e-16
4375.26029322 2.70218e-15
4377.28300007 3.40471e-15
4379.30570693 1.14075e-15
4381.32841378 4.99493e-16
4383.35112064 1.5917e-15
4385.37382749 3.05189e-15
4387.39653435 1.56241e-15
4389.4192412 -7.21143e-17
4391.44194806 3.8611e-15
4393.46465491 4.15703e-15
4395.48736177 4.45946e-15
4397.51006862 4.16137e-15
4399.53277548 9.86991e-15
4401.55548233 7.00685e-14
4403.57818919 1.64795e-13
4405.60089604 1.15173e-13
4407.6236029 1.55642e-14
4409.64630975 2.88133e-15
4411.66901661 3.77026e-15
4413.69172346 6.39466e-15
4415.71443032 3.78378e-15
4417.73713717 -8.54048e-16
4419.75984403 6.15093e-16
4421.78255088 5.34345e-15
4423.80525774 3.16016e-15
4425.82796459 1.90165e-15
4427.85067145 2.87734e-15
4429.8733783 2.63817e-15
4431.89608516 8.77842e-16
4433.91879201 1.01428e-15
4435.94149887 2.28987e-15
4437.96420572 2.01938e-15
4439.98691258 1.19974e-15
4442.00961943 1.13534e-15
4444.03232629 2.62466e-15
4446.05503314 5.47974e-15
4448.07774 1.10277e-15
4450.10044685 4.8696e-16
4452.12315371 3.96639e-15
4454.14586056 4.41928e-15
4456.16856742 2.92642e-15
4458.19127427 3.3589e-15
4460.21398113 3.4095e-15
4462.23668798 2.85659e-15
4464.25939484 2.08294e-15
4466.28210169 1.08883e-15
4468.30480855 1.04321e-15
4470.3275154 2.38997e-15
4472.35022226 4.05641e-15
4474.37292911 3.41118e-15
4476.39563597 1.63307e-15
4478.41834282 2.49513e-15
4480.44104968 2.99458e-15
4482.46375653 3.05439e-15
4484.48646339 3.37304e-15
4486.50917024 1.3085e-15
4488.5318771 3.2885e-15
4490.55458395 3.49767e-15
4492.57729081 1.98642e-15
4494.59999766 7.22965e-16
4496.62270452 1.01066e-15
4498.64541137 3.34168e-15
4500.66811823 5.03568e-15
4502.69082508 3.04249e-15
4504.71353194 1.31794e-15
4506.73623879 2.52385e-15
4508.75894565 2.33252e-15
4510.7816525 1.84363e-15
4512.80435936 1.34605e-15
4514.82706621 2.54222e-15
4516.84977307 4.24422e-15
4518.87247992 2.68476e-15
4520.89518678 1.80081e-15
4522.91789363 2.97375e-15
4524.94060049 2.77832e-15
4526.96330735 2.26569e-15
4528.9860142 3.92214e-15
4531.00872106 3.13221e-15
4533.03142791 1.94672e-15
4535.05413477 2.96452e-15
4537.07684162 3.26997e-15
4539.09954848 2.90974e-15
4541.12225533 3.86799e-15
4543.14496219 4.15289e-15
4545.16766904 3.13077e-15
4547.1903759 2.71991e-15
4549.21308275 2.35394e-15
4551.23578961 2.08317e-15
4553.25849646 2.11119e-15
4555.28120332 3.66455e-15
4557.30391017 4.1039e-15
4559.32661703 3.23456e-15
4561.34932388 2.63172e-15
4563.37203074 2.20538e-15
4565.39473759 2.86653e-15
4567.41744445 3.65084e-15
4569.4401513 3.29009e-15
4571.46285816 3.33804e-15
4573.48556501 2.74028e-15
4575.50827187 2.37881e-15
4577.53097872 4.15282e-15
4579.55368558 3.63048e-15
4581.57639243 3.73721e-15
4583.59909929 3.84055e-15
4585.62180614 2.84013e-15
4587.644513 3.90673e-15
4589.66721985 4.23815e-15
4591.68992671 3.45623e-15
4593.71263356 3.5537e-15
4595.73534042 3.42199e-15
4597.75804727 4.437e-15
4599.78075413 4.43839e-15
4601.80346098 3.00543e-15
4603.82616784 2.8291e-15
4605.84887469 3.45513e-15
4607.87158155 4.23911e-15
4609.8942884 3.33379e-15
4611.91699526 2.52332e-15
4613.93970211 2.69079e-15
4615.96240897 3.1867e-15
4617.98511582 3.34593e-15
4620.00782268 3.59165e-15
4622.03052953 3.59278e-15
4624.05323639 2.65222e-15
4626.07594324 2.95724e-15
4628.0986501 3.80366e-15
4630.12135695 3.9889e-15
4632.14406381 4.47445e-15
4634.16677066 3.68961e-15
4636.18947752 2.97371e-15
4638.21218437 2.58824e-15
4640.23489123 2.58164e-15
4642.25759808 3.08687e-15
4644.28030494 2.91778e-15
4646.30301179 2.99012e-15
4648.32571865 3.40532e-15
4650.3484255 3.40291e-15
4652.37113236 2.71069e-15
4654.39383921 2.50453e-15
4656.41654607 3.65968e-15
4658.43925292 4.23515e-15
4660.46195978 3.12464e-15
4662.48466663 3.23795e-15
4664.50737349 3.35935e-15
4666.53008034 2.99272e-15
4668.5527872 3.39592e-15
4670.57549405 2.54153e-15
4672.59820091 4.00734e-15
4674.62090776 4.95474e-15
4676.64361462 3.84785e-15
4678.66632147 3.01451e-15
4680.68902833 3.23865e-15
4682.71173518 3.48648e-15
4684.73444204 3.13507e-15
4686.75714889 3.06766e-15
4688.77985575 2.61849e-15
4690.8025626 3.63805e-15
4692.82526946 3.55491e-15
4694.84797631 2.88909e-15
4696.87068317 3.1619e-15
4698.89339002 3.08316e-15
4700.91609688 2.62588e-15
4702.93880373 2.43715e-15
4704.96151059 3.18053e-15
4706.98421744 2.75985e-15
4709.0069243 3.11582e-15
4711.02963115 2.60663e-15
4713.05233801 2.53341e-15
4715.07504486 3.49243e-15
4717.09775172 3.12078e-15
4719.12045857 2.76528e-15
4721.14316543 2.73977e-15
4723.16587228 2.35451e-15
4725.18857914 3.02772e-15
4727.21128599 2.99443e-15
4729.23399285 3.07802e-15
4731.2566997 3.30235e-15
4733.27940656 3.51818e-15
4735.30211341 4.17442e-15
4737.32482027 4.17085e-15
4739.34752712 3.46558e-15
4741.37023398 3.14239e-15
4743.39294083 3.27561e-15
4745.41564769 2.80121e-15
4747.43835454 2.84889e-15
4749.4610614 2.24546e-15
4751.48376825 2.64187e-15
4753.50647511 2.79623e-15
4755.52918196 3.40818e-15
4757.55188882 3.60848e-15
4759.57459567 3.23739e-15
4761.59730253 2.77124e-15
4763.62000938 2.90557e-15
4765.64271624 2.95709e-15
4767.66542309 3.21389e-15
4769.68812995 3.19508e-15
4771.7108368 2.58497e-15
4773.73354366 2.67098e-15
4775.75625051 2.93657e-15
4777.77895737 2.75528e-15
4779.80166423 2.39756e-15
4781.82437108 2.77574e-15
4783.84707794 2.93859e-15
4785.86978479 2.66563e-15
4787.89249165 3.53049e-15
4789.9151985 3.51465e-15
4791.93790536 3.29725e-15
4793.96061221 3.9982e-15
4795.98331907 3.65825e-15
4798.00602592 2.48386e-15
4800.02873278 2.99359e-15
4802.05143963 3.4246e-15
4804.07414649 3.13851e-15
4806.09685334 2.89266e-15
4808.1195602 2.88336e-15
4810.14226705 3.19918e-15
4812.16497391 3.45647e-15
4814.18768076 3.26786e-15
4816.21038762 3.16617e-15
4818.23309447 2.99225e-15
4820.25580133 3.13506e-15
4822.27850818 2.82018e-15
4824.30121504 3.10618e-15
4826.32392189 3.0976e-15
4828.34662875 2.99581e-15
4830.3693356 3.17817e-15
4832.39204246 2.97671e-15
4834.41474931 3.38277e-15
4836.43745617 3.56186e-15
4838.46016302 3.89789e-15
4840.48286988 3.71424e-15
4842.50557673 3.12787e-15
4844.52828359 3.34361e-15
4846.55099044 3.09359e-15
4848.5736973 3.24653e-15
4850.59640415 3.45922e-15
4852.61911101 3.47326e-15
4854.64181786 3.11288e-15
4856.66452472 2.97796e-15
4858.68723157 3.19032e-15
4860.70993843 3.3118e-15
4862.73264528 3.35616e-15
4864.75535214 3.00431e-15
4866.77805899 3.17101e-15
4868.80076585 3.23456e-15
4870.8234727 3.15354e-15
4872.84617956 3.10189e-15
4874.86888641 3.68677e-15
4876.89159327 3.59263e-15
4878.91430012 3.25916e-15
4880.93700698 3.04545e-15
4882.95971383 2.9407e-15
4884.98242069 2.73424e-15
4887.00512754 2.40356e-15
4889.0278344 2.97879e-15
4891.05054125 3.49778e-15
4893.07324811 3.46728e-15
4895.09595496 3.17683e-15
4897.11866182 3.05967e-15
4899.14136867 3.36309e-15
4901.16407553 3.3811e-15
4903.18678238 3.26162e-15
4905.20948924 3.11945e-15
4907.23219609 3.42371e-15
4909.25490295 5.00368e-15
4911.2776098 6.71038e-15
4913.30031666 4.7688e-15
4915.32302351 2.98915e-15
4917.34573037 2.84704e-15
4919.36843722 2.95068e-15
4921.39114408 2.98351e-15
4923.41385093 3.22067e-15
4925.43655779 3.34338e-15
4927.45926464 3.40566e-15
4929.4819715 3.01479e-15
4931.50467835 2.82145e-15
4933.52738521 2.90583e-15
4935.55009206 3.12492e-15
4937.57279892 2.86841e-15
4939.59550577 3.566e-15
4941.61821263 3.34211e-15
4943.64091948 3.0405e-15
4945.66362634 3.02294e-15
4947.68633319 3.39549e-15
4949.70904005 3.21233e-15
4951.7317469 2.88009e-15
4953.75445376 2.60977e-15
4955.77716061 3.2943e-15
4957.79986747 3.38077e-15
4959.82257432 3.17666e-15
4961.84528118 3.23074e-15
4963.86798803 3.02434e-15
4965.89069489 3.06241e-15
4967.91340174 3.2528e-15
4969.9361086 3.19427e-15
4971.95881545 2.97214e-15
4973.98152231 3.15528e-15
4976.00422916 3.21927e-15
4978.02693602 2.72874e-15
4980.04964287 2.49937e-15
4982.07234973 2.63024e-15
4984.09505658 3.15839e-15
4986.11776344 3.42697e-15
4988.14047029 3.26439e-15
4990.16317715 3.23112e-15
4992.185884 3.06022e-15
4994.20859086 2.97864e-15
4996.23129771 3.27514e-15
4998.25400457 3.08195e-15
5000.27671142 2.71568e-15
5002.29941828 2.58144e-15
5004.32212513 2.60547e-15
5006.34483199 3.04365e-15
5008.36753884 2.95915e-15
5010.3902457 2.80294e-15
5012.41295255 2.88395e-15
5014.43565941 2.81441e-15
5016.45836626 3.184e-15
5018.48107312 3.02901e-15
5020.50377997 2.84455e-15
5022.52648683 2.97672e-15
5024.54919368 2.98645e-15
5026.57190054 2.83901e-15
5028.59460739 2.9954e-15
5030.61731425 3.2068e-15
5032.64002111 3.06138e-15
5034.66272796 2.79272e-15
5036.68543482 2.55185e-15
5038.70814167 2.40966e-15
5040.73084853 2.72994e-15
5042.75355538 2.92143e-15
5044.77626224 2.88773e-15
5046.79896909 2.70624e-15
5048.82167595 2.72892e-15
5050.8443828 2.7645e-15
5052.86708966 2.89373e-15
5054.88979651 2.95794e-15
5056.91250337 2.85652e-15
5058.93521022 2.88961e-15
5060.95791708 3.037e-15
5062.98062393 2.80981e-15
5065.00333079 2.93711e-15
5067.02603764 2.534e-15
5069.0487445 2.52878e-15
5071.07145135 2.67642e-15
5073.09415821 2.45993e-15
5075.11686506 2.46882e-15
5077.13957192 2.74092e-15
5079.16227877 2.52894e-15
5081.18498563 2.70112e-15
5083.20769248 2.69194e-15
5085.23039934 2.76878e-15
5087.25310619 2.84414e-15
5089.27581305 2.61852e-15
5091.2985199 2.7555e-15
5093.32122676 2.81375e-15
5095.34393361 2.67616e-15
5097.36664047 2.47099e-15
5099.38934732 2.73703e-15
5101.41205418 3.00095e-15
5103.43476103 2.84994e-15
5105.45746789 2.63304e-15
5107.48017474 2.75977e-15
5109.5028816 2.99648e-15
5111.52558845 2.912e-15
5113.54829531 2.89424e-15
5115.57100216 2.82227e-15
5117.59370902 2.84729e-15
5119.61641587 2.52561e-15
5121.63912273 2.53607e-15
5123.66182958 2.66438e-15
5125.68453644 2.60162e-15
5127.70724329 2.44397e-15
5129.72995015 2.5232e-15
5131.752657 2.77077e-15
5133.77536386 2.69648e-15
5135.79807071 2.42527e-15
5137.82077757 2.60731e-15
5139.84348442 2.27857e-15
5141.86619128 2.4925e-15
5143.88889813 2.76744e-15
5145.91160499 2.61438e-15
5147.93431184 2.3272e-15
5149.9570187 2.24966e-15
5151.97972555 2.47592e-15
5154.00243241 2.6419e-15
5156.02513926 2.92733e-15
5158.04784612 2.74397e-15
5160.07055297 2.77246e-15
5162.09325983 2.65688e-15
5164.11596668 1.98516e-15
5166.13867354 1.85445e-15
5168.16138039 2.04253e-15
5170.18408725 1.84535e-15
5172.2067941 1.90765e-15
5174.22950096 2.34714e-15
5176.25220781 2.49744e-15
5178.27491467 2.21404e-15
5180.29762152 1.74904e-15
5182.32032838 1.77458e-15
5184.34303523 2.08834e-15
5186.36574209 2.43665e-15
5188.38844894 2.36546e-15
5190.4111558 2.31719e-15
5192.43386265 2.57255e-15
5194.45656951 2.68748e-15
5196.47927636 2.78594e-15
5198.50198322 2.78347e-15
5200.52469007 2.74761e-15
5202.54739693 2.57699e-15
5204.57010378 2.3073e-15
5206.59281064 2.15234e-15
5208.61551749 2.30415e-15
5210.63822435 2.62344e-15
5212.6609312 2.916e-15
5214.68363806 2.68009e-15
5216.70634491 2.86863e-15
5218.72905177 2.96101e-15
5220.75175862 2.79921e-15
5222.77446548 2.66146e-15
5224.79717233 2.50289e-15
5226.81987919 2.64986e-15
5228.84258604 2.80394e-15
5230.8652929 2.6945e-15
5232.88799975 2.90556e-15
5234.91070661 2.8601e-15
5236.93341346 2.89471e-15
5238.95612032 2.94496e-15
5240.97882717 3.17595e-15
5243.00153403 3.26069e-15
5245.02424088 2.84728e-15
5247.04694774 2.64238e-15
5249.06965459 2.67828e-15
5251.09236145 2.76633e-15
5253.1150683 2.97468e-15
5255.13777516 2.97814e-15
5257.16048201 2.84388e-15
5259.18318887 2.83793e-15
5261.20589572 2.46675e-15
5263.22860258 2.31911e-15
5265.25130943 2.32357e-15
5267.27401629 2.22157e-15
5269.29672314 2.32094e-15
5271.31943 2.49746e-15
5273.34213685 2.7708e-15
5275.36484371 2.89397e-15
5277.38755056 3.0523e-15
5279.41025742 2.78764e-15
5281.43296427 2.63677e-15
5283.45567113 2.83597e-15
5285.47837798 2.95767e-15
5287.50108484 3.14777e-15
5289.5237917 3.09419e-15
5291.54649855 2.96848e-15
5293.56920541 2.78751e-15
5295.59191226 2.44515e-15
5297.61461912 2.48304e-15
5299.63732597 2.55566e-15
5301.66003283 2.85018e-15
5303.68273968 3.05635e-15
5305.70544654 2.91411e-15
5307.72815339 2.99304e-15
5309.75086025 3.14486e-15
5311.7735671 3.07861e-15
5313.79627396 2.89566e-15
5315.81898081 2.86127e-15
5317.84168767 2.83179e-15
5319.86439452 2.75227e-15
5321.88710138 2.65499e-15
5323.90980823 2.54732e-15
5325.93251509 2.40765e-15
5327.95522194 2.23597e-15
5329.9779288 2.56286e-15
5332.00063565 2.87113e-15
5334.02334251 2.8052e-15
5336.04604936 2.87205e-15
5338.06875622 2.59075e-15
5340.09146307 2.45372e-15
5342.11416993 2.54985e-15
5344.13687678 2.61577e-15
5346.15958364 2.59386e-15
5348.18229049 2.74613e-15
5350.20499735 2.81304e-15
